A,B,detA,detB,accuracy
"[[-2  1]
 [ 3  3]]","[[ 3 -3]
 [-1 -3]]",-9.0,-12.0,0.47574758529663086
"[[ 3  3]
 [-3 -3]]","[[-3 -1]
 [ 3 -2]]",0.0,9.0,0.5336533784866333
"[[-2  1]
 [ 1 -2]]","[[-1  1]
 [ 0  2]]",3.0,-2.0,0.5100510120391846
"[[-2 -1]
 [-3  2]]","[[ 0  0]
 [-2 -3]]",-7.0,0.0,0.0
"[[ 1 -1]
 [ 2 -1]]","[[3 2]
 [3 2]]",1.0,0.0,0.5070506930351257
"[[ 3  1]
 [ 3 -3]]","[[ 0  3]
 [-1 -3]]",-12.0,3.0,0.49774977564811707
"[[-1 -2]
 [ 0  2]]","[[-3 -3]
 [ 3  1]]",-2.0,6.0,0.5980598330497742
"[[-2 -1]
 [ 0 -2]]","[[-2  2]
 [-3 -3]]",4.0,12.0,0.6211621165275574
"[[ 0  1]
 [-1 -1]]","[[-2 -2]
 [ 3  2]]",1.0,2.0,0.5273527503013611
"[[ 1 -3]
 [ 0  0]]","[[ 1 -3]
 [-2  0]]",0.0,-6.0,0.7479748129844666
"[[0 3]
 [1 3]]","[[3 0]
 [0 1]]",-3.0,3.0,0.922492265701294
"[[ 0 -1]
 [ 2  1]]","[[ 2 -1]
 [-2  0]]",2.0,-2.0,0.6935693621635437
"[[-1 -1]
 [ 2  2]]","[[ 3  3]
 [-2  2]]",0.0,12.0,0.7418741583824158
"[[-3  1]
 [ 2  3]]","[[ 2  1]
 [-2 -1]]",-11.0,0.0,0.31713172793388367
"[[-2 -3]
 [ 1  2]]","[[-3 -2]
 [-2 -3]]",-1.0,5.0,0.5022502541542053
"[[-1  0]
 [ 0 -1]]","[[ 0 -2]
 [ 0 -3]]",1.0,0.0,0.5022502541542053
"[[ 1  0]
 [ 3 -1]]","[[-1 -1]
 [-2  3]]",-1.0,-5.0,0.7878788113594055
"[[-2 -3]
 [ 2  0]]","[[-1 -2]
 [-2  0]]",6.0,-4.0,0.5972597002983093
"[[ 2 -3]
 [ 3  1]]","[[-3  1]
 [-2  0]]",11.0,2.0,0.6510651111602783
"[[2 2]
 [3 3]]","[[-2 -1]
 [ 2  2]]",0.0,-2.0,0.49774977564811707
"[[-2  0]
 [ 2  0]]","[[ 2 -1]
 [ 0  3]]",0.0,6.0,0.5022502541542053
"[[-2 -2]
 [-3  1]]","[[ 0 -2]
 [ 2 -3]]",-8.0,4.0,0.5388538837432861
"[[ 3 -1]
 [ 3 -3]]","[[-3  1]
 [-1  0]]",-6.0,1.0,0.24722471833229065
"[[2 0]
 [3 1]]","[[-2 -2]
 [-2 -2]]",2.0,0.0,0.2563256323337555
"[[0 3]
 [3 3]]","[[-3 -2]
 [ 3 -1]]",-9.0,9.0,0.603260338306427
"[[ 2 -2]
 [ 2 -2]]","[[ 0  1]
 [ 1 -3]]",0.0,-1.0,0.5336533784866333
"[[ 2  0]
 [ 2 -1]]","[[-1 -2]
 [-3 -3]]",-2.0,-3.0,0.7315731644630432
"[[-3  2]
 [-2  1]]","[[ 1  2]
 [-2 -2]]",1.0,2.0,0.9555955529212952
"[[ 1 -3]
 [-1  1]]","[[ 3  1]
 [-1 -3]]",-2.0,-8.0,0.4982498288154602
"[[ 1  3]
 [-1  1]]","[[-3  1]
 [ 2  3]]",4.0,-11.0,0.5136513710021973
"[[-3  0]
 [-3  3]]","[[ 0 -2]
 [ 2 -3]]",-9.0,4.0,0.556455671787262
"[[-3 -2]
 [-2 -1]]","[[ 2 -2]
 [ 0 -3]]",-1.0,-6.0,0.1500149965286255
"[[ 1 -2]
 [ 2 -2]]","[[ 3  3]
 [-1  0]]",2.0,3.0,0.7307730913162231
"[[ 1 -1]
 [ 1 -3]]","[[ 3 -2]
 [-3  0]]",-2.0,-6.0,0.7051705121994019
"[[ 1 -1]
 [ 3 -2]]","[[ 2 -1]
 [ 3 -2]]",1.0,-1.0,0.5021502375602722
"[[-1 -3]
 [-3  3]]","[[ 3 -1]
 [-3 -3]]",-12.0,-12.0,0.08240824192762375
"[[ 2  1]
 [-3  1]]","[[2 3]
 [2 3]]",5.0,0.0,0.49774977564811707
"[[2 0]
 [0 3]]","[[ 2 -3]
 [-3 -1]]",6.0,-11.0,0.4966496527194977
"[[-2 -1]
 [ 0 -3]]","[[-2 -2]
 [ 0  2]]",6.0,-4.0,0.49774977564811707
"[[ 0  1]
 [ 1 -3]]","[[-2 -1]
 [ 2  2]]",-1.0,-2.0,0.6635663509368896
"[[ 0 -1]
 [-2 -2]]","[[ 0  1]
 [ 2 -1]]",-2.0,-2.0,0.5066506862640381
"[[ 2 -3]
 [-3  2]]","[[-1 -2]
 [-2 -2]]",-5.0,-2.0,0.9222922325134277
"[[-3 -1]
 [ 2  3]]","[[-2  0]
 [-1  2]]",-7.0,-4.0,0.5022502541542053
"[[0 1]
 [1 2]]","[[ 3 -3]
 [-2  0]]",-1.0,-6.0,0.614661455154419
"[[-1  0]
 [ 0 -1]]","[[-3 -1]
 [-1 -3]]",1.0,8.0,0.5843584537506104
"[[-3  0]
 [-3  1]]","[[ 1  3]
 [-2  2]]",-3.0,8.0,0.47814780473709106
"[[-1 -3]
 [ 0  1]]","[[ 0  1]
 [-1 -1]]",-1.0,1.0,0.6763676404953003
"[[ 1 -1]
 [-2  1]]","[[ 2  1]
 [-1  3]]",-1.0,7.0,0.8829882740974426
"[[-3 -1]
 [ 0 -3]]","[[-1  3]
 [ 1  1]]",9.0,-4.0,0.49774977564811707
"[[ 0  3]
 [-1 -1]]","[[ 2 -2]
 [ 2  0]]",3.0,4.0,0.5022502541542053
"[[-2  3]
 [ 1  1]]","[[-2 -2]
 [ 3 -2]]",-5.0,10.0,0.5022502541542053
"[[-1 -3]
 [ 2  1]]","[[ 0  3]
 [-1  0]]",5.0,3.0,0.5428543090820312
