val1,val2,last_matrix
576.0,576.0,1
240.0,240.0,1
22032.0,-14688.0,2
-72.0,-72.0,1
684.0,-456.0,2
0.0,0.0,2
-480.0,-480.0,1
0.0,0.0,2
23328.0,-15552.0,2
540.0,-360.0,2
-1224.0,-1224.0,2
0.0,0.0,2
-288.0,-288.0,1
0.0,0.0,2
-504.0,336.0,2
0.0,0.0,2
576.0,576.0,1
0.0,0.0,2
168.0,168.0,2
1152.0,1152.0,1
23328.0,23328.0,1
-11664.0,7776.0,2
252.0,-168.0,2
-576.0,-576.0,2
-480.0,-480.0,1
36.0,36.0,1
168.0,168.0,1
-720.0,480.0,2
8640.0,8640.0,1
-1512.0,-1512.0,1
-288.0,-288.0,1
-576.0,384.0,2
-120.0,-120.0,1
1440.0,-960.0,2
756.0,-504.0,2
12.0,12.0,1
-1296.0,-1296.0,1
48.0,48.0,1
0.0,0.0,2
48.0,48.0,1
11664.0,11664.0,1
0.0,0.0,1
-24.0,-24.0,1
-864.0,-864.0,1
468.0,-312.0,2
-456.0,-456.0,1
0.0,0.0,2
96.0,96.0,1
-1368.0,912.0,2
128.0,128.0,1
0.0,0.0,2
-32.0,-32.0,1
56.0,56.0,1
-720.0,-720.0,1
2052.0,-1368.0,2
0.0,0.0,1
0.0,0.0,1
0.0,0.0,2
-864.0,-864.0,2
36.0,-24.0,2
108.0,108.0,1
0.0,0.0,1
-240.0,160.0,2
0.0,0.0,2
0.0,0.0,1
-648.0,-648.0,1
-40.0,-40.0,1
0.0,0.0,2
0.0,0.0,1
12.0,12.0,1
-288.0,192.0,2
0.0,0.0,1
-1080.0,-1080.0,2
-240.0,-240.0,1
1728.0,1728.0,1
0.0,0.0,1
60.0,60.0,1
0.0,0.0,2
-120.0,-120.0,1
-342.0,228.0,2
612.0,-408.0,2
0.0,0.0,1
0.0,0.0,2
0.0,0.0,1
-72.0,-72.0,1
-32.0,-32.0,1
1872.0,1872.0,1
-2376.0,-2376.0,1
252.0,-168.0,2
-192.0,128.0,2
