a,b,Classification
259,238,0
366,115,0
907,978,1
433,573,1
477,18,0
813,354,0
53,475,1
555,489,0
497,521,1
356,284,0
192,179,0
2,763,1
96,208,1
627,325,0
576,4,0
929,446,0
96,845,1
577,248,0
580,439,0
876,759,0
789,353,0
315,594,1
836,113,0
722,574,0
623,871,1
747,970,1
337,784,1
136,69,0
658,114,0
54,188,1
690,988,1
828,231,0
684,578,0
241,637,1
18,851,1
671,810,1
920,376,0
597,950,1
660,66,0
33,919,1
270,272,1
928,742,0
890,848,0
627,225,0
293,530,1
899,118,0
131,94,0
789,675,0
729,710,0
196,1000,1
734,555,0
936,325,0
176,783,1
729,692,0
136,310,1
795,700,0
359,700,1
619,746,1
442,732,1
244,129,0
644,718,1
865,482,0
814,296,0
689,982,1
709,22,0
501,1000,1
354,88,0
511,677,1
366,217,0
831,871,1
450,705,1
417,756,1
814,368,0
767,67,0
668,288,0
312,891,1
683,615,0
972,322,0
804,822,1
805,163,0
177,834,1
469,444,0
269,676,1
679,879,1
97,857,1
283,286,1
662,427,0
216,816,1
239,207,0
512,835,1
454,463,1
248,653,1
973,315,0
724,358,0
275,350,1
856,297,0
386,143,0
138,482,1
99,445,1
212,482,1
697,880,1
322,811,1
451,668,1
193,892,1
712,777,1
705,87,0
483,1000,1
516,37,0
291,921,1
576,303,0
362,247,0
879,750,0
535,598,1
198,434,1
763,481,0
8,397,1
267,814,1
300,700,1
178,754,1
135,433,1
872,797,0
334,629,1
868,67,0
633,369,0
581,565,0
395,877,1
356,316,0
263,642,1
480,951,1
968,573,0
538,634,1
744,710,0
669,104,0
193,44,0
278,879,1
328,336,1
759,474,0
999,592,0
837,524,0
339,981,1
40,607,1
782,350,0
485,778,1
460,916,1
572,660,1
98,885,1
250,359,1
720,943,1
11,462,1
764,580,0
829,973,1
283,269,0
531,248,0
20,317,1
791,222,0
102,69,0
162,216,1
601,441,0
216,245,1
910,293,0
888,432,0
459,517,1
423,777,1
467,403,0
984,405,0
137,624,1
558,637,1
670,323,0
912,2,0
50,138,1
437,967,1
783,235,0
183,837,1
25,315,1
58,445,1
112,290,1
231,541,1
744,548,0
250,847,1
487,991,1
974,917,0
801,560,0
363,385,1
403,622,1
477,898,1
667,469,0
511,101,0
741,855,1
383,320,0
833,359,0
327,273,0
497,902,1
111,851,1
724,621,0
112,316,1
547,758,1
937,538,0
758,856,1
735,472,0
969,309,0
425,697,1
630,542,0
136,933,1
748,13,0
808,644,0
304,524,1
567,955,1
569,378,0
414,87,0
618,127,0
535,606,1
379,52,0
532,732,1
883,7,0
393,282,0
41,974,1
706,394,0
18,518,1
510,686,1
516,465,0
934,881,0
405,617,1
668,666,0
426,746,1
69,530,1
262,351,1
42,744,1
617,98,0
62,357,1
882,430,0
549,819,1
193,975,1
301,563,1
256,776,1
726,694,0
233,738,1
664,858,1
104,915,1
779,13,0
410,478,1
164,522,1
163,407,1
519,63,0
790,638,0
732,399,0
156,728,1
500,342,0
788,579,0
782,872,1
12,583,1
831,389,0
736,350,0
691,663,0
239,283,1
547,171,0
101,891,1
522,112,0
646,792,1
444,207,0
45,260,1
217,137,0
995,19,0
330,114,0
176,75,0
22,153,1
290,599,1
144,430,1
742,318,0
361,392,1
126,754,1
957,427,0
799,608,0
698,202,0
572,790,1
393,778,1
454,804,1
892,347,0
9,373,1
31,938,1
874,330,0
471,205,0
72,482,1
873,302,0
171,379,1
529,182,0
420,846,1
645,553,0
688,538,0
260,125,0
10,983,1
895,754,0
988,376,0
304,323,1
230,876,1
523,848,1
34,105,1
440,332,0
955,721,0
924,556,0
548,152,0
227,322,1
96,917,1
588,875,1
318,887,1
856,447,0
78,950,1
653,387,0
248,729,1
546,873,1
223,689,1
786,381,0
260,165,0
522,672,1
717,541,0
852,144,0
883,366,0
859,223,0
503,767,1
577,712,1
835,487,0
488,806,1
698,723,1
932,46,0
590,647,1
177,185,1
391,388,0
574,253,0
429,607,1
918,78,0
486,791,1
405,768,1
241,160,0
372,459,1
144,880,1
710,372,0
574,99,0
989,267,0
628,124,0
790,588,0
164,79,0
238,841,1
831,670,0
84,50,0
192,654,1
667,373,0
980,296,0
511,131,0
446,961,1
142,603,1
589,958,1
76,58,0
121,517,1
680,940,1
574,67,0
972,15,0
532,910,1
402,862,1
565,204,0
670,982,1
146,640,1
61,540,1
244,152,0
899,404,0
464,364,0
764,2,0
550,419,0
666,225,0
659,813,1
510,158,0
760,842,1
631,560,0
771,979,1
816,198,0
540,442,0
296,220,0
658,431,0
817,178,0
669,441,0
223,5,0
473,104,0
18,176,1
36,179,1
630,735,1
527,78,0
821,990,1
472,723,1
75,782,1
133,334,1
724,97,0
816,890,1
767,294,0
915,738,0
307,473,1
455,206,0
719,767,1
314,295,0
234,14,0
622,390,0
134,994,1
615,524,0
805,276,0
23,774,1
682,607,0
805,963,1
915,404,0
803,848,1
843,385,0
73,479,1
329,258,0
89,300,1
838,568,0
905,48,0
289,678,1
447,822,1
497,1000,1
687,433,0
