A,B,detA,detB,accuracy
"[[-2  1]
 [ 3  3]]","[[ 3 -3]
 [-1 -3]]",-9.0,-12.0,0.6353635191917419
"[[ 3  3]
 [-3 -3]]","[[-3 -1]
 [ 3 -2]]",0.0,9.0,0.5022502541542053
"[[-2  1]
 [ 1 -2]]","[[-1  1]
 [ 0  2]]",3.0,-2.0,0.69456946849823
"[[-2 -1]
 [-3  2]]","[[ 0  0]
 [-2 -3]]",-7.0,0.0,0.49774977564811707
"[[ 1 -1]
 [ 2 -1]]","[[3 2]
 [3 2]]",1.0,0.0,0.8425842523574829
"[[ 3  1]
 [ 3 -3]]","[[ 0  3]
 [-1 -3]]",-12.0,3.0,0.8085808753967285
"[[-1 -2]
 [ 0  2]]","[[-3 -3]
 [ 3  1]]",-2.0,6.0,0.598659873008728
"[[-2 -1]
 [ 0 -2]]","[[-2  2]
 [-3 -3]]",4.0,12.0,0.49774977564811707
"[[ 0  1]
 [-1 -1]]","[[-2 -2]
 [ 3  2]]",1.0,2.0,0.6913691163063049
"[[ 1 -3]
 [ 0  0]]","[[ 1 -3]
 [-2  0]]",0.0,-6.0,0.7506750822067261
"[[0 3]
 [1 3]]","[[3 0]
 [0 1]]",-3.0,3.0,0.9377937912940979
"[[ 0 -1]
 [ 2  1]]","[[ 2 -1]
 [-2  0]]",2.0,-2.0,0.8906890749931335
"[[-1 -1]
 [ 2  2]]","[[ 3  3]
 [-2  2]]",0.0,12.0,1.0
"[[-3  1]
 [ 2  3]]","[[ 2  1]
 [-2 -1]]",-11.0,0.0,0.49774977564811707
"[[-2 -3]
 [ 1  2]]","[[-3 -2]
 [-2 -3]]",-1.0,5.0,0.5022502541542053
"[[-1  0]
 [ 0 -1]]","[[ 0 -2]
 [ 0 -3]]",1.0,0.0,0.5022502541542053
"[[ 1  0]
 [ 3 -1]]","[[-1 -1]
 [-2  3]]",-1.0,-5.0,0.6739674210548401
