A,B,detA,detB,accuracy
"[[-2  1]
 [ 3  3]]","[[ 3 -3]
 [-1 -3]]",-9.0,-12.0,0.49774977564811707
"[[ 3  3]
 [-3 -3]]","[[-3 -1]
 [ 3 -2]]",0.0,9.0,0.5022502541542053
"[[-2  1]
 [ 1 -2]]","[[-1  1]
 [ 0  2]]",3.0,-2.0,0.49774977564811707
"[[-2 -1]
 [-3  2]]","[[ 0  0]
 [-2 -3]]",-7.0,0.0,0.5022502541542053
"[[ 1 -1]
 [ 2 -1]]","[[3 2]
 [3 2]]",1.0,0.0,0.8362836241722107
"[[ 3  1]
 [ 3 -3]]","[[ 0  3]
 [-1 -3]]",-12.0,3.0,0.7774777412414551
"[[-1 -2]
 [ 0  2]]","[[-3 -3]
 [ 3  1]]",-2.0,6.0,0.5022502541542053
"[[-2 -1]
 [ 0 -2]]","[[-2  2]
 [-3 -3]]",4.0,12.0,0.5022502541542053
"[[ 0  1]
 [-1 -1]]","[[-2 -2]
 [ 3  2]]",1.0,2.0,0.689969003200531
"[[ 1 -3]
 [ 0  0]]","[[ 1 -3]
 [-2  0]]",0.0,-6.0,0.7506750822067261
"[[0 3]
 [1 3]]","[[3 0]
 [0 1]]",-3.0,3.0,0.9368937015533447
"[[ 0 -1]
 [ 2  1]]","[[ 2 -1]
 [-2  0]]",2.0,-2.0,0.8930892944335938
"[[-1 -1]
 [ 2  2]]","[[ 3  3]
 [-2  2]]",0.0,12.0,1.0
"[[-3  1]
 [ 2  3]]","[[ 2  1]
 [-2 -1]]",-11.0,0.0,0.6687668561935425
"[[-2 -3]
 [ 1  2]]","[[-3 -2]
 [-2 -3]]",-1.0,5.0,0.5022502541542053
"[[-1  0]
 [ 0 -1]]","[[ 0 -2]
 [ 0 -3]]",1.0,0.0,0.5022502541542053
"[[ 1  0]
 [ 3 -1]]","[[-1 -1]
 [-2  3]]",-1.0,-5.0,0.5022502541542053
"[[-2 -3]
 [ 2  0]]","[[-1 -2]
 [-2  0]]",6.0,-4.0,0.49774977564811707
"[[ 2 -3]
 [ 3  1]]","[[-3  1]
 [-2  0]]",11.0,2.0,0.49774977564811707
"[[2 2]
 [3 3]]","[[-2 -1]
 [ 2  2]]",0.0,-2.0,0.49774977564811707
"[[-2  0]
 [ 2  0]]","[[ 2 -1]
 [ 0  3]]",0.0,6.0,0.49774977564811707
"[[-2 -2]
 [-3  1]]","[[ 0 -2]
 [ 2 -3]]",-8.0,4.0,0.49774977564811707
"[[ 3 -1]
 [ 3 -3]]","[[-3  1]
 [-1  0]]",-6.0,1.0,0.5022502541542053
"[[2 0]
 [3 1]]","[[-2 -2]
 [-2 -2]]",2.0,0.0,0.5022502541542053
"[[0 3]
 [3 3]]","[[-3 -2]
 [ 3 -1]]",-9.0,9.0,0.5022502541542053
"[[ 2 -2]
 [ 2 -2]]","[[ 0  1]
 [ 1 -3]]",0.0,-1.0,0.5336533784866333
"[[ 2  0]
 [ 2 -1]]","[[-1 -2]
 [-3 -3]]",-2.0,-3.0,0.9822982549667358
