,A,B,detA,detB,accuracy,product_dets,success,A_matrix_first,A_matrix_second,A_matrix_third,A_matrix_fourth,B_matrix_first,B_matrix_second,B_matrix_third,B_matrix_fourth,A_matrix,B_matrix
0,"[[-2  1]
 [ 3  3]]","[[ 3 -3]
 [-1 -3]]",-9.0,-12.0,0.4757475852966308,108.0,False,-2,1,3,3,3,-3,-1,-3,"[[-2  1]
 [ 3  3]]","[[ 3 -3]
 [-1 -3]]"
1,"[[ 3  3]
 [-3 -3]]","[[-3 -1]
 [ 3 -2]]",0.0,9.0,0.5336533784866333,0.0,False,3,3,-3,-3,-3,-1,3,-2,"[[ 3  3]
 [-3 -3]]","[[-3 -1]
 [ 3 -2]]"
2,"[[-2  1]
 [ 1 -2]]","[[-1  1]
 [ 0  2]]",3.0,-2.0,0.5100510120391846,-6.0,False,-2,1,1,-2,-1,1,0,2,"[[-2  1]
 [ 1 -2]]","[[-1  1]
 [ 0  2]]"
3,"[[-2 -1]
 [-3  2]]","[[ 0  0]
 [-2 -3]]",-7.0,0.0,0.0,-0.0,False,-2,-1,-3,2,0,0,-2,-3,"[[-2 -1]
 [-3  2]]","[[ 0  0]
 [-2 -3]]"
4,"[[ 1 -1]
 [ 2 -1]]","[[3 2]
 [3 2]]",1.0,0.0,0.5070506930351257,0.0,False,1,-1,2,-1,3,2,3,2,"[[ 1 -1]
 [ 2 -1]]","[[3 2]
 [3 2]]"
5,"[[ 3  1]
 [ 3 -3]]","[[ 0  3]
 [-1 -3]]",-12.0,3.0,0.497749775648117,-36.0,False,3,1,3,-3,0,3,-1,-3,"[[ 3  1]
 [ 3 -3]]","[[ 0  3]
 [-1 -3]]"
6,"[[-1 -2]
 [ 0  2]]","[[-3 -3]
 [ 3  1]]",-2.0,6.0,0.5980598330497742,-12.0,False,-1,-2,0,2,-3,-3,3,1,"[[-1 -2]
 [ 0  2]]","[[-3 -3]
 [ 3  1]]"
7,"[[-2 -1]
 [ 0 -2]]","[[-2  2]
 [-3 -3]]",4.0,12.0,0.6211621165275574,48.0,False,-2,-1,0,-2,-2,2,-3,-3,"[[-2 -1]
 [ 0 -2]]","[[-2  2]
 [-3 -3]]"
8,"[[ 0  1]
 [-1 -1]]","[[-2 -2]
 [ 3  2]]",1.0,2.0,0.5273527503013611,2.0,False,0,1,-1,-1,-2,-2,3,2,"[[ 0  1]
 [-1 -1]]","[[-2 -2]
 [ 3  2]]"
9,"[[ 1 -3]
 [ 0  0]]","[[ 1 -3]
 [-2  0]]",0.0,-6.0,0.7479748129844666,-0.0,False,1,-3,0,0,1,-3,-2,0,"[[ 1 -3]
 [ 0  0]]","[[ 1 -3]
 [-2  0]]"
10,"[[0 3]
 [1 3]]","[[3 0]
 [0 1]]",-3.0,3.0,0.922492265701294,-9.0,True,0,3,1,3,3,0,0,1,"[[0 3]
 [1 3]]","[[3 0]
 [0 1]]"
11,"[[ 0 -1]
 [ 2  1]]","[[ 2 -1]
 [-2  0]]",2.0,-2.0,0.6935693621635437,-4.0,False,0,-1,2,1,2,-1,-2,0,"[[ 0 -1]
 [ 2  1]]","[[ 2 -1]
 [-2  0]]"
12,"[[-1 -1]
 [ 2  2]]","[[ 3  3]
 [-2  2]]",0.0,12.0,0.7418741583824158,0.0,False,-1,-1,2,2,3,3,-2,2,"[[-1 -1]
 [ 2  2]]","[[ 3  3]
 [-2  2]]"
13,"[[-3  1]
 [ 2  3]]","[[ 2  1]
 [-2 -1]]",-11.0,0.0,0.3171317279338836,-0.0,False,-3,1,2,3,2,1,-2,-1,"[[-3  1]
 [ 2  3]]","[[ 2  1]
 [-2 -1]]"
14,"[[-2 -3]
 [ 1  2]]","[[-3 -2]
 [-2 -3]]",-1.0,5.0,0.5022502541542053,-5.0,False,-2,-3,1,2,-3,-2,-2,-3,"[[-2 -3]
 [ 1  2]]","[[-3 -2]
 [-2 -3]]"
15,"[[-1  0]
 [ 0 -1]]","[[ 0 -2]
 [ 0 -3]]",1.0,0.0,0.5022502541542053,0.0,False,-1,0,0,-1,0,-2,0,-3,"[[-1  0]
 [ 0 -1]]","[[ 0 -2]
 [ 0 -3]]"
16,"[[ 1  0]
 [ 3 -1]]","[[-1 -1]
 [-2  3]]",-1.0,-5.0,0.7878788113594055,5.0,False,1,0,3,-1,-1,-1,-2,3,"[[ 1  0]
 [ 3 -1]]","[[-1 -1]
 [-2  3]]"
17,"[[-2 -3]
 [ 2  0]]","[[-1 -2]
 [-2  0]]",6.0,-4.0,0.5972597002983093,-24.0,False,-2,-3,2,0,-1,-2,-2,0,"[[-2 -3]
 [ 2  0]]","[[-1 -2]
 [-2  0]]"
18,"[[ 2 -3]
 [ 3  1]]","[[-3  1]
 [-2  0]]",11.0,2.0,0.6510651111602783,22.0,False,2,-3,3,1,-3,1,-2,0,"[[ 2 -3]
 [ 3  1]]","[[-3  1]
 [-2  0]]"
19,"[[2 2]
 [3 3]]","[[-2 -1]
 [ 2  2]]",0.0,-2.0,0.497749775648117,-0.0,False,2,2,3,3,-2,-1,2,2,"[[2 2]
 [3 3]]","[[-2 -1]
 [ 2  2]]"
20,"[[-2  0]
 [ 2  0]]","[[ 2 -1]
 [ 0  3]]",0.0,6.0,0.5022502541542053,0.0,False,-2,0,2,0,2,-1,0,3,"[[-2  0]
 [ 2  0]]","[[ 2 -1]
 [ 0  3]]"
21,"[[-2 -2]
 [-3  1]]","[[ 0 -2]
 [ 2 -3]]",-8.0,4.0,0.5388538837432861,-32.0,False,-2,-2,-3,1,0,-2,2,-3,"[[-2 -2]
 [-3  1]]","[[ 0 -2]
 [ 2 -3]]"
22,"[[ 3 -1]
 [ 3 -3]]","[[-3  1]
 [-1  0]]",-6.0,1.0,0.2472247183322906,-6.0,False,3,-1,3,-3,-3,1,-1,0,"[[ 3 -1]
 [ 3 -3]]","[[-3  1]
 [-1  0]]"
23,"[[2 0]
 [3 1]]","[[-2 -2]
 [-2 -2]]",2.0,0.0,0.2563256323337555,0.0,False,2,0,3,1,-2,-2,-2,-2,"[[2 0]
 [3 1]]","[[-2 -2]
 [-2 -2]]"
24,"[[0 3]
 [3 3]]","[[-3 -2]
 [ 3 -1]]",-9.0,9.0,0.603260338306427,-81.0,False,0,3,3,3,-3,-2,3,-1,"[[0 3]
 [3 3]]","[[-3 -2]
 [ 3 -1]]"
25,"[[ 2 -2]
 [ 2 -2]]","[[ 0  1]
 [ 1 -3]]",0.0,-1.0,0.5336533784866333,-0.0,False,2,-2,2,-2,0,1,1,-3,"[[ 2 -2]
 [ 2 -2]]","[[ 0  1]
 [ 1 -3]]"
26,"[[ 2  0]
 [ 2 -1]]","[[-1 -2]
 [-3 -3]]",-2.0,-3.0,0.7315731644630432,6.0,False,2,0,2,-1,-1,-2,-3,-3,"[[ 2  0]
 [ 2 -1]]","[[-1 -2]
 [-3 -3]]"
27,"[[-3  2]
 [-2  1]]","[[ 1  2]
 [-2 -2]]",1.0,2.0,0.9555955529212952,2.0,True,-3,2,-2,1,1,2,-2,-2,"[[-3  2]
 [-2  1]]","[[ 1  2]
 [-2 -2]]"
28,"[[ 1 -3]
 [-1  1]]","[[ 3  1]
 [-1 -3]]",-2.0,-8.0,0.4982498288154602,16.0,False,1,-3,-1,1,3,1,-1,-3,"[[ 1 -3]
 [-1  1]]","[[ 3  1]
 [-1 -3]]"
29,"[[ 1  3]
 [-1  1]]","[[-3  1]
 [ 2  3]]",4.0,-11.0,0.5136513710021973,-44.0,False,1,3,-1,1,-3,1,2,3,"[[ 1  3]
 [-1  1]]","[[-3  1]
 [ 2  3]]"
30,"[[-3  0]
 [-3  3]]","[[ 0 -2]
 [ 2 -3]]",-9.0,4.0,0.556455671787262,-36.0,False,-3,0,-3,3,0,-2,2,-3,"[[-3  0]
 [-3  3]]","[[ 0 -2]
 [ 2 -3]]"
31,"[[-3 -2]
 [-2 -1]]","[[ 2 -2]
 [ 0 -3]]",-1.0,-6.0,0.1500149965286255,6.0,False,-3,-2,-2,-1,2,-2,0,-3,"[[-3 -2]
 [-2 -1]]","[[ 2 -2]
 [ 0 -3]]"
32,"[[ 1 -2]
 [ 2 -2]]","[[ 3  3]
 [-1  0]]",2.0,3.0,0.7307730913162231,6.0,False,1,-2,2,-2,3,3,-1,0,"[[ 1 -2]
 [ 2 -2]]","[[ 3  3]
 [-1  0]]"
33,"[[ 1 -1]
 [ 1 -3]]","[[ 3 -2]
 [-3  0]]",-2.0,-6.0,0.7051705121994019,12.0,False,1,-1,1,-3,3,-2,-3,0,"[[ 1 -1]
 [ 1 -3]]","[[ 3 -2]
 [-3  0]]"
34,"[[ 1 -1]
 [ 3 -2]]","[[ 2 -1]
 [ 3 -2]]",1.0,-1.0,0.5021502375602722,-1.0,False,1,-1,3,-2,2,-1,3,-2,"[[ 1 -1]
 [ 3 -2]]","[[ 2 -1]
 [ 3 -2]]"
35,"[[-1 -3]
 [-3  3]]","[[ 3 -1]
 [-3 -3]]",-12.0,-12.0,0.0824082419276237,144.0,False,-1,-3,-3,3,3,-1,-3,-3,"[[-1 -3]
 [-3  3]]","[[ 3 -1]
 [-3 -3]]"
36,"[[ 2  1]
 [-3  1]]","[[2 3]
 [2 3]]",5.0,0.0,0.497749775648117,0.0,False,2,1,-3,1,2,3,2,3,"[[ 2  1]
 [-3  1]]","[[2 3]
 [2 3]]"
37,"[[2 0]
 [0 3]]","[[ 2 -3]
 [-3 -1]]",6.0,-11.0,0.4966496527194977,-66.0,False,2,0,0,3,2,-3,-3,-1,"[[2 0]
 [0 3]]","[[ 2 -3]
 [-3 -1]]"
38,"[[-2 -1]
 [ 0 -3]]","[[-2 -2]
 [ 0  2]]",6.0,-4.0,0.497749775648117,-24.0,False,-2,-1,0,-3,-2,-2,0,2,"[[-2 -1]
 [ 0 -3]]","[[-2 -2]
 [ 0  2]]"
39,"[[ 0  1]
 [ 1 -3]]","[[-2 -1]
 [ 2  2]]",-1.0,-2.0,0.6635663509368896,2.0,False,0,1,1,-3,-2,-1,2,2,"[[ 0  1]
 [ 1 -3]]","[[-2 -1]
 [ 2  2]]"
40,"[[ 0 -1]
 [-2 -2]]","[[ 0  1]
 [ 2 -1]]",-2.0,-2.0,0.5066506862640381,4.0,False,0,-1,-2,-2,0,1,2,-1,"[[ 0 -1]
 [-2 -2]]","[[ 0  1]
 [ 2 -1]]"
41,"[[ 2 -3]
 [-3  2]]","[[-1 -2]
 [-2 -2]]",-5.0,-2.0,0.9222922325134276,10.0,True,2,-3,-3,2,-1,-2,-2,-2,"[[ 2 -3]
 [-3  2]]","[[-1 -2]
 [-2 -2]]"
42,"[[-3 -1]
 [ 2  3]]","[[-2  0]
 [-1  2]]",-7.0,-4.0,0.5022502541542053,28.0,False,-3,-1,2,3,-2,0,-1,2,"[[-3 -1]
 [ 2  3]]","[[-2  0]
 [-1  2]]"
43,"[[0 1]
 [1 2]]","[[ 3 -3]
 [-2  0]]",-1.0,-6.0,0.614661455154419,6.0,False,0,1,1,2,3,-3,-2,0,"[[0 1]
 [1 2]]","[[ 3 -3]
 [-2  0]]"
44,"[[-1  0]
 [ 0 -1]]","[[-3 -1]
 [-1 -3]]",1.0,8.0,0.5843584537506104,8.0,False,-1,0,0,-1,-3,-1,-1,-3,"[[-1  0]
 [ 0 -1]]","[[-3 -1]
 [-1 -3]]"
45,"[[-3  0]
 [-3  1]]","[[ 1  3]
 [-2  2]]",-3.0,8.0,0.478147804737091,-24.0,False,-3,0,-3,1,1,3,-2,2,"[[-3  0]
 [-3  1]]","[[ 1  3]
 [-2  2]]"
46,"[[-1 -3]
 [ 0  1]]","[[ 0  1]
 [-1 -1]]",-1.0,1.0,0.6763676404953003,-1.0,False,-1,-3,0,1,0,1,-1,-1,"[[-1 -3]
 [ 0  1]]","[[ 0  1]
 [-1 -1]]"
47,"[[ 1 -1]
 [-2  1]]","[[ 2  1]
 [-1  3]]",-1.0,7.0,0.8829882740974426,-7.0,True,1,-1,-2,1,2,1,-1,3,"[[ 1 -1]
 [-2  1]]","[[ 2  1]
 [-1  3]]"
48,"[[-3 -1]
 [ 0 -3]]","[[-1  3]
 [ 1  1]]",9.0,-4.0,0.497749775648117,-36.0,False,-3,-1,0,-3,-1,3,1,1,"[[-3 -1]
 [ 0 -3]]","[[-1  3]
 [ 1  1]]"
49,"[[ 0  3]
 [-1 -1]]","[[ 2 -2]
 [ 2  0]]",3.0,4.0,0.5022502541542053,12.0,False,0,3,-1,-1,2,-2,2,0,"[[ 0  3]
 [-1 -1]]","[[ 2 -2]
 [ 2  0]]"
50,"[[-2  3]
 [ 1  1]]","[[-2 -2]
 [ 3 -2]]",-5.0,10.0,0.5022502541542053,-50.0,False,-2,3,1,1,-2,-2,3,-2,"[[-2  3]
 [ 1  1]]","[[-2 -2]
 [ 3 -2]]"
51,"[[-1 -3]
 [ 2  1]]","[[ 0  3]
 [-1  0]]",5.0,3.0,0.5428543090820312,15.0,False,-1,-3,2,1,0,3,-1,0,"[[-1 -3]
 [ 2  1]]","[[ 0  3]
 [-1  0]]"
52,"[[ 1  3]
 [-2  0]]","[[1 2]
 [0 2]]",6.0,2.0,0.6402640342712402,12.0,False,1,3,-2,0,1,2,0,2,"[[ 1  3]
 [-2  0]]","[[1 2]
 [0 2]]"
53,"[[-2  0]
 [ 1 -1]]","[[ 0  0]
 [ 0 -2]]",2.0,0.0,1.0,0.0,True,-2,0,1,-1,0,0,0,-2,"[[-2  0]
 [ 1 -1]]","[[ 0  0]
 [ 0 -2]]"
54,"[[-3 -2]
 [-2  2]]","[[-1  3]
 [-3  2]]",-10.0,7.0,0.208420842885971,-70.0,False,-3,-2,-2,2,-1,3,-3,2,"[[-3 -2]
 [-2  2]]","[[-1  3]
 [-3  2]]"
55,"[[ 3  1]
 [-3  0]]","[[ 2  1]
 [-1  3]]",3.0,7.0,0.493049293756485,21.0,False,3,1,-3,0,2,1,-1,3,"[[ 3  1]
 [-3  0]]","[[ 2  1]
 [-1  3]]"
56,"[[-3 -1]
 [ 1  1]]","[[-3 -2]
 [ 1 -1]]",-2.0,5.0,0.4901490211486816,-10.0,False,-3,-1,1,1,-3,-2,1,-1,"[[-3 -1]
 [ 1  1]]","[[-3 -2]
 [ 1 -1]]"
57,"[[ 1 -2]
 [-2  2]]","[[ 2 -2]
 [-3 -2]]",-2.0,-10.0,0.0469046905636787,20.0,False,1,-2,-2,2,2,-2,-3,-2,"[[ 1 -2]
 [-2  2]]","[[ 2 -2]
 [-3 -2]]"
58,"[[-2 -3]
 [ 2  0]]","[[-3 -2]
 [ 3 -1]]",6.0,9.0,0.92779278755188,54.0,True,-2,-3,2,0,-3,-2,3,-1,"[[-2 -3]
 [ 2  0]]","[[-3 -2]
 [ 3 -1]]"
59,"[[-1 -1]
 [ 1 -2]]","[[-1 -2]
 [ 3  0]]",3.0,6.0,0.497749775648117,18.0,False,-1,-1,1,-2,-1,-2,3,0,"[[-1 -1]
 [ 1 -2]]","[[-1 -2]
 [ 3  0]]"
60,"[[ 0 -2]
 [ 1 -2]]","[[ 3 -1]
 [-1 -1]]",2.0,-4.0,0.6516651511192322,-8.0,False,0,-2,1,-2,3,-1,-1,-1,"[[ 0 -2]
 [ 1 -2]]","[[ 3 -1]
 [-1 -1]]"
61,"[[ 1 -2]
 [-3  3]]","[[-2  0]
 [-1  2]]",-3.0,-4.0,0.497749775648117,12.0,False,1,-2,-3,3,-2,0,-1,2,"[[ 1 -2]
 [-3  3]]","[[-2  0]
 [-1  2]]"
