val1,val2,last_matrix
1305600.0,1305600.0,1
614400.0,614400.0,1
-120.0,-120.0,1
-2764800.0,2764800.0,2
-19200.0,19200.0,2
-121600.0,-121600.0,1
-21600.0,21600.0,2
24000.0,-24000.0,2
-153600.0,-153600.0,1
-4800.0,-4800.0,1
48000.0,48000.0,1
-20000.0,20000.0,2
-28800.0,-28800.0,1
456000.0,-456000.0,2
76800.0,76800.0,1
144000.0,-144000.0,2
-384000.0,384000.0,2
84000.0,-84000.0,2
81600.0,81600.0,1
345600.0,345600.0,1
64000.0,64000.0,1
-307200.0,307200.0,2
288000.0,288000.0,1
-27200.0,-27200.0,1
326400.0,326400.0,1
3600.0,-3600.0,2
537600.0,537600.0,1
256000.0,-256000.0,2
1248000.0,-1248000.0,2
-7372800.0,7372800.0,2
-18000.0,18000.0,2
-4800.0,-4800.0,1
204800.0,204800.0,1
640.0,640.0,1
-128000.0,-128000.0,1
-2400.0,-2400.0,1
-960000.0,-960000.0,1
28800.0,-28800.0,2
144000.0,-144000.0,2
-816000.0,-816000.0,1
-121600.0,-121600.0,1
-224000.0,224000.0,2
336000.0,-336000.0,2
-12800.0,-12800.0,1
192000.0,-192000.0,2
-30400.0,-30400.0,1
96000.0,96000.0,1
-307200.0,-307200.0,1
-80000.0,80000.0,2
-11520.0,-11520.0,1
1536000.0,1536000.0,1
-144000.0,-144000.0,1
360000.0,-360000.0,2
2400.0,2400.0,1
1146880.0,1146880.0,1
-86400.0,86400.0,2
19200.0,19200.0,1
57600.0,57600.0,1
57600.0,57600.0,1
-3600.0,3600.0,2
-115200.0,-115200.0,1
-614400.0,614400.0,2
972800.0,-972800.0,2
1600.0,-1600.0,2
-9600.0,-9600.0,1
-608000.0,608000.0,2
400.0,-400.0,2
-288000.0,288000.0,2
24000.0,24000.0,1
-960.0,960.0,2
240000.0,-240000.0,2
42000.0,-42000.0,2
12000.0,12000.0,1
-332800.0,-332800.0,1
-960000.0,-960000.0,1
-399360.0,-399360.0,1
272000.0,272000.0,1
400.0,-400.0,2
-76800.0,76800.0,2
-24000.0,24000.0,2
-2918400.0,2918400.0,2
5400.0,5400.0,1
384000.0,384000.0,1
6144000.0,6144000.0,1
51200.0,-51200.0,2
400.0,-400.0,2
-19200.0,-19200.0,1
665600.0,-665600.0,2
-56000.0,56000.0,2
-384000.0,-384000.0,1
-1200.0,1200.0,2
-88000.0,88000.0,2
48000.0,-48000.0,2
67200.0,67200.0,1
780.0,-780.0,2
-245760.0,-245760.0,1
-1024000.0,-1024000.0,1
-256000.0,256000.0,2
-168000.0,-168000.0,1
245760.0,245760.0,1
-48000.0,-48000.0,1
9600.0,-9600.0,2
-16800.0,16800.0,2
972800.0,-972800.0,2
-40960.0,40960.0,2
-22000.0,22000.0,2
16500.0,-16500.0,2
-640.0,640.0,2
-108800.0,-108800.0,1
3200.0,3200.0,1
1800.0,-1800.0,2
72000.0,72000.0,1
19200.0,19200.0,1
-6000.0,-6000.0,1
6000.0,-6000.0,2
-17600.0,-17600.0,1
115200.0,115200.0,1
115200.0,-115200.0,2
21600.0,21600.0,1
-486400.0,-486400.0,1
-6000.0,-6000.0,1
510000.0,510000.0,1
-102400.0,-102400.0,1
3200.0,-3200.0,2
7040.0,7040.0,1
384000.0,384000.0,1
19200.0,19200.0,1
2080.0,2080.0,1
-36000.0,-36000.0,1
-4800000.0,4800000.0,2
1024000.0,1024000.0,1
-115200.0,115200.0,2
216000.0,-216000.0,2
1152000.0,1152000.0,1
3000.0,3000.0,1
96000.0,-96000.0,2
-840000.0,840000.0,2
200.0,-200.0,2
-840000.0,840000.0,2
-384000.0,384000.0,2
-1228800.0,-1228800.0,1
560000.0,-560000.0,2
-1080000.0,1080000.0,2
1200.0,1200.0,1
-30400.0,-30400.0,1
-192.0,-192.0,1
4300800.0,4300800.0,1
4480.0,4480.0,1
38400.0,38400.0,1
19500.0,-19500.0,2
-480000.0,480000.0,2
512000.0,-512000.0,2
-4480.0,4480.0,2
-3648000.0,-3648000.0,1
-320.0,320.0,2
480.0,480.0,1
102400.0,-102400.0,2
48640.0,48640.0,1
1228800.0,1228800.0,1
-1200000.0,1200000.0,2
4800.0,4800.0,1
204800.0,204800.0,1
-17600.0,-17600.0,1
5222400.0,5222400.0,1
-16000.0,16000.0,2
300.0,-300.0,2
-8000.0,8000.0,2
-640000.0,640000.0,2
-38400.0,38400.0,2
-486400.0,-486400.0,1
1600.0,-1600.0,2
-38400.0,38400.0,2
5120.0,5120.0,1
15200.0,-15200.0,2
-25600.0,-25600.0,1
71680.0,71680.0,1
7200.0,7200.0,1
1200.0,-1200.0,2
-7600.0,-7600.0,1
-576000.0,-576000.0,1
-1280000.0,1280000.0,2
320000.0,320000.0,1
320000.0,320000.0,1
1024000.0,-1024000.0,2
-36000.0,36000.0,2
-192000.0,-192000.0,1
-608000.0,608000.0,2
-652800.0,652800.0,2
1024000.0,-1024000.0,2
-33600.0,33600.0,2
491520.0,491520.0,1
-32000.0,32000.0,2
-300000.0,300000.0,2
48000.0,-48000.0,2
9600.0,-9600.0,2
19200.0,19200.0,1
-1200000.0,1200000.0,2
-768000.0,768000.0,2
432000.0,-432000.0,2
240000.0,-240000.0,2
-280.0,280.0,2
176000.0,176000.0,1
-38400.0,-38400.0,1
1344000.0,-1344000.0,2
57600.0,-57600.0,2
-10000.0,10000.0,2
153600.0,153600.0,1
216000.0,-216000.0,2
-128000.0,-128000.0,1
