0,1,2
56.0,39.0,0.0
195.0,838.0,1.0
1150.0,3789.0,1.0
0.0,1.0,1.0
1.0,2.0,1.0
915.0,379.0,0.0
1565.0,7352.0,1.0
693.0,256.0,0.0
3.0,2.0,0.0
115.0,71.0,0.0
1717.0,8081.0,1.0
7.0,3.0,0.0
1105.0,873.0,0.0
57996.0,35347.0,0.0
203.0,537.0,1.0
6307.0,2458.0,0.0
819.0,374.0,0.0
6721.0,17384.0,1.0
26.0,23.0,0.0
132.0,35.0,0.0
4641.0,17291.0,1.0
49.0,187.0,1.0
42652.0,152091.0,1.0
944.0,4049.0,1.0
7.0,3.0,0.0
903.0,2155.0,1.0
1.0,2.0,1.0
66156.0,27683.0,0.0
481.0,264.0,0.0
66994.0,15145.0,0.0
1.0,1.0,0.0
1.0,3.0,1.0
1.0,0.0,0.0
17.0,5.0,0.0
37.0,103.0,1.0
1.0,4.0,1.0
4185.0,3037.0,0.0
50.0,27.0,0.0
1.0,1.0,1.0
9207.0,20962.0,1.0
20.0,11.0,0.0
67.0,51.0,0.0
5.0,16.0,1.0
39.0,122.0,1.0
809.0,1983.0,1.0
1126.0,727.0,0.0
1.0,1.0,1.0
1671.0,4621.0,1.0
1.0,1.0,1.0
2822.0,1945.0,0.0
3.0,2.0,0.0
0.0,1.0,1.0
3.0,10.0,1.0
9036.0,3529.0,0.0
131.0,473.0,1.0
29.0,18.0,0.0
7.0,33.0,1.0
8.0,3.0,0.0
0.0,1.0,0.0
5.0,1.0,0.0
1733.0,675.0,0.0
693.0,290.0,0.0
65.0,219.0,1.0
188.0,719.0,1.0
2773.0,1685.0,0.0
1712.0,537.0,0.0
369.0,1619.0,1.0
323.0,797.0,1.0
243.0,103.0,0.0
9.0,2.0,0.0
0.0,1.0,1.0
549.0,1817.0,1.0
17617.0,12373.0,0.0
311.0,240.0,0.0
0.0,1.0,1.0
1.0,1.0,1.0
3.0,8.0,1.0
7442.0,4517.0,0.0
75.0,29.0,0.0
24062.0,17417.0,0.0
9.0,20.0,1.0
19984.0,15421.0,0.0
53.0,46.0,0.0
1457.0,667.0,0.0
1.0,1.0,1.0
193.0,82.0,0.0
37439.0,97790.0,1.0
2.0,1.0,0.0
2.0,1.0,0.0
11.0,9.0,0.0
1.0,1.0,0.0
6.0,13.0,1.0
8426.0,18759.0,1.0
18392.0,11755.0,0.0
2458.0,6447.0,1.0
3301.0,2348.0,0.0
89.0,34.0,0.0
13.0,59.0,1.0
603.0,3097.0,1.0
22429.0,5209.0,0.0
9.0,20.0,1.0
433.0,2326.0,1.0
28.0,13.0,0.0
3.0,7.0,1.0
1.0,1.0,1.0
