val1,val2,val3,val4,num_moves_Q_learning_needs,first_move_by_Q_learning
29.0,12.0,70.0,29.0,5,3
1657.0,298.0,-506.0,-91.0,12,3
-43.0,16.0,8.0,-3.0,6,1
65.0,-112.0,148.0,-255.0,8,0
-147.0,86.0,94.0,-55.0,8,1
449.0,946.0,-290.0,-611.0,12,2
1313.0,2346.0,-830.0,-1483.0,12,2
109.0,-64.0,46.0,-27.0,7,1
-11.0,-4.0,-52.0,-19.0,6,3
-67.0,12.0,-28.0,5.0,6,1
9.0,22.0,2.0,5.0,4,2
-255.0,404.0,-1364.0,2161.0,12,0
-1335.0,494.0,-554.0,205.0,10,1
-3.0,-2.0,-16.0,-11.0,5,3
77.0,-628.0,276.0,-2251.0,12,0
-219.0,50.0,-530.0,121.0,8,1
-11.0,-8.0,40.0,29.0,6,3
-119.0,162.0,202.0,-275.0,10,0
-623.0,-142.0,-136.0,-31.0,9,3
9.0,4.0,-16.0,-7.0,4,3
-15.0,34.0,-4.0,9.0,5,0
61.0,-8.0,-38.0,5.0,7,1
29.0,140.0,6.0,29.0,9,2
73.0,698.0,16.0,153.0,11,2
2577.0,404.0,1078.0,169.0,11,3
725.0,-1182.0,468.0,-763.0,11,0
-13283.0,21516.0,5400.0,-8747.0,-1,1
189.0,338.0,52.0,93.0,9,2
-1059.0,-476.0,1346.0,605.0,11,3
1.0,10.0,0.0,1.0,5,2
-39.0,-10.0,4.0,1.0,7,3
501.0,1796.0,778.0,2789.0,11,2
-3011.0,-540.0,1946.0,349.0,13,3
-327.0,796.0,-76.0,185.0,10,0
13.0,6.0,28.0,13.0,5,3
141.0,-22.0,-32.0,5.0,7,1
-39.0,100.0,-94.0,241.0,7,0
13.0,34.0,60.0,157.0,7,2
53.0,-118.0,-22.0,49.0,6,0
-71.0,114.0,-38.0,61.0,8,0
-7.0,12.0,4.0,-7.0,4,0
1937.0,1416.0,-896.0,-655.0,12,3
-179.0,-116.0,-54.0,-35.0,9,3
9.0,-20.0,14.0,-31.0,5,0
2601.0,-9790.0,-1148.0,4321.0,-1,1
-7.0,12.0,4.0,-7.0,4,0
41.0,16.0,64.0,25.0,6,3
-1847.0,3120.0,724.0,-1223.0,14,0
-39.0,16.0,-178.0,73.0,7,1
1.0,-4.0,0.0,1.0,2,0
121.0,-50.0,288.0,-119.0,7,1
125.0,58.0,28.0,13.0,7,3
9.0,-58.0,16.0,-103.0,7,0
-147.0,-346.0,82.0,193.0,10,2
37.0,8.0,-14.0,-3.0,5,3
17.0,30.0,132.0,233.0,9,2
-31.0,76.0,-20.0,49.0,6,0
217.0,-96.0,52.0,-23.0,8,1
-2223.0,-3968.0,386.0,689.0,13,2
-3.0,-2.0,-10.0,-7.0,4,3
-27.0,116.0,10.0,-43.0,7,0
773.0,2614.0,490.0,1657.0,12,2
-163.0,202.0,-46.0,57.0,10,0
1257.0,274.0,812.0,177.0,11,3
9.0,-2.0,14.0,-3.0,4,1
-2607.0,1436.0,-5942.0,3273.0,13,1
1.0,0.0,-2.0,1.0,1,1
89.0,-158.0,40.0,-71.0,7,0
5.0,-22.0,18.0,-79.0,6,0
3857.0,12734.0,2484.0,8201.0,15,2
-539.0,-248.0,376.0,173.0,10,3
241.0,-582.0,576.0,-1391.0,9,0
929.0,-3516.0,-144.0,545.0,12,0
-647.0,-1702.0,268.0,705.0,9,2
25.0,-16.0,36.0,-23.0,6,1
-899.0,196.0,-8646.0,1885.0,-1,2
149.0,264.0,-92.0,-163.0,8,2
-331.0,706.0,-158.0,337.0,12,0
209.0,-1334.0,290.0,-1851.0,12,0
-207.0,-76.0,-1370.0,-503.0,11,3
289.0,220.0,222.0,169.0,11,3
-14151.0,5126.0,-26030.0,9429.0,-1,3
-135.0,-578.0,32.0,137.0,9,2
-19.0,46.0,-126.0,305.0,8,0
-47.0,14.0,104.0,-31.0,7,1
325.0,-514.0,184.0,-291.0,9,0
809.0,-1406.0,1286.0,-2235.0,12,0
1.0,0.0,12.0,1.0,6,3
-11.0,-42.0,-28.0,-107.0,7,2
1393.0,-6450.0,3400.0,-15743.0,13,0
-3.0,-14.0,-4.0,-19.0,5,2
49.0,20.0,-76.0,-31.0,6,3
48913.0,-21186.0,-20310.0,8797.0,-1,2
-7.0,26.0,-24.0,89.0,7,0
-79.0,32.0,-42.0,17.0,7,1
-103.0,16.0,-58.0,9.0,7,1
-3.0,-26.0,-16.0,-139.0,9,2
-515.0,-1326.0,-1244.0,-3203.0,11,2
-7.0,2.0,10.0,-3.0,4,1
