val1,val2,val3,val4,best_move,dist_to_id
1.0,3.0,-21.0,-62.0,2.0,8.0
1.0,0.0,-18.0,1.0,3.0,8.0
1.0,-3.0,-21.0,64.0,0.0,8.0
1.0,0.0,-24.0,1.0,1.0,8.0
1.0,0.0,-18.0,1.0,2.0,8.0
-8.0,-3.0,147.0,55.0,3.0,8.0
1.0,-6.0,-18.0,109.0,0.0,8.0
10.0,-3.0,-183.0,55.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
1.0,6.0,-18.0,-107.0,2.0,8.0
10.0,3.0,-177.0,-53.0,3.0,8.0
1.0,0.0,-18.0,1.0,0.0,8.0
-8.0,3.0,141.0,-53.0,1.0,8.0
10.0,27.0,-153.0,-413.0,2.0,8.0
1.0,-3.0,-15.0,46.0,3.0,8.0
10.0,-33.0,-153.0,505.0,0.0,8.0
19.0,-3.0,-291.0,46.0,1.0,8.0
1.0,-3.0,-15.0,46.0,2.0,8.0
-17.0,-6.0,258.0,91.0,3.0,8.0
1.0,-9.0,-15.0,136.0,0.0,8.0
19.0,-6.0,-288.0,91.0,1.0,8.0
-8.0,-27.0,123.0,415.0,2.0,8.0
-17.0,-3.0,261.0,46.0,3.0,8.0
-8.0,21.0,123.0,-323.0,0.0,8.0
1.0,-3.0,-15.0,46.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
1.0,3.0,-9.0,-26.0,2.0,8.0
1.0,0.0,-6.0,1.0,3.0,8.0
1.0,-3.0,-9.0,28.0,0.0,8.0
1.0,0.0,-12.0,1.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
-8.0,-21.0,117.0,307.0,2.0,8.0
1.0,3.0,-15.0,-44.0,3.0,8.0
-8.0,27.0,117.0,-395.0,0.0,8.0
-17.0,3.0,249.0,-44.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
10.0,33.0,-147.0,-485.0,2.0,8.0
19.0,3.0,-279.0,-44.0,3.0,8.0
10.0,-27.0,-147.0,397.0,0.0,8.0
1.0,3.0,-15.0,-44.0,1.0,8.0
1.0,9.0,-15.0,-134.0,2.0,8.0
19.0,6.0,-282.0,-89.0,3.0,8.0
1.0,3.0,-15.0,-44.0,0.0,8.0
-17.0,6.0,252.0,-89.0,1.0,8.0
19.0,54.0,-234.0,-665.0,2.0,8.0
10.0,-3.0,-123.0,37.0,3.0,8.0
19.0,-60.0,-234.0,739.0,0.0,8.0
28.0,-3.0,-345.0,37.0,1.0,8.0
10.0,-3.0,-123.0,37.0,2.0,8.0
-89.0,-33.0,1095.0,406.0,3.0,8.0
10.0,-63.0,-123.0,775.0,0.0,8.0
109.0,-33.0,-1341.0,406.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
10.0,57.0,-123.0,-701.0,2.0,8.0
91.0,27.0,-1119.0,-332.0,3.0,8.0
10.0,-3.0,-123.0,37.0,0.0,8.0
-71.0,27.0,873.0,-332.0,1.0,8.0
19.0,51.0,-231.0,-620.0,2.0,8.0
1.0,-6.0,-12.0,73.0,3.0,8.0
19.0,-63.0,-231.0,766.0,0.0,8.0
37.0,-6.0,-450.0,73.0,1.0,8.0
1.0,-6.0,-12.0,73.0,2.0,8.0
-26.0,-9.0,315.0,109.0,3.0,8.0
1.0,-12.0,-12.0,145.0,0.0,8.0
28.0,-9.0,-339.0,109.0,1.0,8.0
-17.0,-57.0,207.0,694.0,2.0,8.0
-35.0,-6.0,426.0,73.0,3.0,8.0
-17.0,45.0,207.0,-548.0,0.0,8.0
1.0,-6.0,-12.0,73.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
-8.0,-3.0,99.0,37.0,2.0,8.0
55.0,21.0,-681.0,-260.0,3.0,8.0
-8.0,45.0,99.0,-557.0,0.0,8.0
-71.0,21.0,879.0,-260.0,1.0,8.0
-17.0,-54.0,210.0,667.0,2.0,8.0
-26.0,-3.0,321.0,37.0,3.0,8.0
-17.0,48.0,210.0,-593.0,0.0,8.0
-8.0,-3.0,99.0,37.0,1.0,8.0
-8.0,-51.0,99.0,631.0,2.0,8.0
-89.0,-27.0,1101.0,334.0,3.0,8.0
-8.0,-3.0,99.0,37.0,0.0,8.0
73.0,-27.0,-903.0,334.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
1.0,0.0,-18.0,1.0,1.0,8.0
1.0,0.0,-12.0,1.0,2.0,8.0
-8.0,-3.0,99.0,37.0,3.0,8.0
1.0,-6.0,-12.0,73.0,0.0,8.0
10.0,-3.0,-123.0,37.0,1.0,8.0
1.0,3.0,-9.0,-26.0,2.0,8.0
1.0,0.0,-6.0,1.0,3.0,8.0
1.0,-3.0,-9.0,28.0,0.0,8.0
1.0,0.0,-12.0,1.0,1.0,8.0
1.0,6.0,-12.0,-71.0,2.0,8.0
10.0,3.0,-117.0,-35.0,3.0,8.0
1.0,0.0,-12.0,1.0,0.0,8.0
-8.0,3.0,93.0,-35.0,1.0,8.0
1.0,3.0,-15.0,-44.0,2.0,8.0
1.0,0.0,-12.0,1.0,3.0,8.0
1.0,-3.0,-15.0,46.0,0.0,8.0
