val1,val2,val3,val4,best_move,dist_to_id
1.0,3.0,-18.0,-53.0,2.0,7.0
1.0,0.0,-15.0,1.0,3.0,7.0
1.0,-3.0,-18.0,55.0,0.0,7.0
1.0,0.0,-21.0,1.0,1.0,7.0
1.0,0.0,-15.0,1.0,2.0,7.0
-8.0,-3.0,123.0,46.0,3.0,7.0
1.0,-6.0,-15.0,91.0,0.0,7.0
10.0,-3.0,-153.0,46.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,6.0,-15.0,-89.0,2.0,7.0
10.0,3.0,-147.0,-44.0,3.0,7.0
1.0,0.0,-15.0,1.0,0.0,7.0
-8.0,3.0,117.0,-44.0,1.0,7.0
10.0,27.0,-123.0,-332.0,2.0,7.0
1.0,-3.0,-12.0,37.0,3.0,7.0
10.0,-33.0,-123.0,406.0,0.0,7.0
19.0,-3.0,-234.0,37.0,1.0,7.0
1.0,-3.0,-12.0,37.0,2.0,7.0
-17.0,-6.0,207.0,73.0,3.0,7.0
1.0,-9.0,-12.0,109.0,0.0,7.0
19.0,-6.0,-231.0,73.0,1.0,7.0
-8.0,-27.0,99.0,334.0,2.0,7.0
-17.0,-3.0,210.0,37.0,3.0,7.0
-8.0,21.0,99.0,-260.0,0.0,7.0
1.0,-3.0,-12.0,37.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,3.0,-12.0,-35.0,2.0,7.0
1.0,0.0,-9.0,1.0,3.0,7.0
1.0,-3.0,-12.0,37.0,0.0,7.0
1.0,0.0,-15.0,1.0,1.0,7.0
1.0,0.0,-9.0,1.0,2.0,7.0
-8.0,-3.0,75.0,28.0,3.0,7.0
1.0,-6.0,-9.0,55.0,0.0,7.0
10.0,-3.0,-93.0,28.0,1.0,7.0
1.0,3.0,-6.0,-17.0,2.0,7.0
1.0,0.0,-3.0,1.0,3.0,7.0
1.0,-3.0,-6.0,19.0,0.0,7.0
1.0,0.0,-9.0,1.0,1.0,7.0
1.0,6.0,-9.0,-53.0,2.0,7.0
10.0,3.0,-87.0,-26.0,3.0,7.0
1.0,0.0,-9.0,1.0,0.0,7.0
