val1,val2,val3,val4,num_moves_Q_learning_needs,first_move_by_Q_learning
5.0,3.0,8.0,5.0,5,3
-17.0,-7.0,5.0,2.0,8,3
-1.0,-1.0,1.0,0.0,4,0
5.0,-2.0,8.0,-3.0,6,0
0.0,1.0,-1.0,-1.0,4,1
-1.0,-1.0,-1.0,-2.0,6,0
-1.0,0.0,2.0,-1.0,4,0
-2.0,1.0,-1.0,0.0,5,1
1.0,1.0,1.0,2.0,2,2
-7.0,3.0,-5.0,2.0,6,1
3.0,5.0,1.0,2.0,4,2
-3.0,1.0,5.0,-2.0,6,0
3.0,-8.0,2.0,-5.0,6,0
0.0,-1.0,1.0,-2.0,5,0
11.0,-47.0,15.0,-64.0,12,0
-9.0,4.0,-16.0,7.0,8,1
1.0,-1.0,-1.0,2.0,2,0
1.0,3.0,-1.0,-2.0,4,2
-11.0,-5.0,-2.0,-1.0,9,2
3.0,2.0,-2.0,-1.0,4,2
-3.0,5.0,-2.0,3.0,5,0
4.0,-1.0,-7.0,2.0,5,1
-1.0,-5.0,0.0,-1.0,7,2
7.0,31.0,2.0,9.0,9,2
33.0,10.0,23.0,7.0,9,3
-1.0,0.0,-3.0,-1.0,5,2
-56.0,39.0,33.0,-23.0,12,0
0.0,1.0,-1.0,0.0,3,1
15.0,11.0,-26.0,-19.0,9,2
1.0,5.0,0.0,1.0,5,2
-9.0,-5.0,2.0,1.0,7,3
27.0,37.0,8.0,11.0,9,2
7.0,3.0,-26.0,-11.0,9,2
9.0,-16.0,4.0,-7.0,8,0
4.0,3.0,5.0,4.0,5,3
18.0,-5.0,-7.0,2.0,7,1
-3.0,8.0,-5.0,13.0,7,0
1.0,2.0,3.0,7.0,5,2
8.0,-11.0,-5.0,7.0,6,0
-5.0,3.0,-7.0,4.0,6,1
-1.0,0.0,2.0,-1.0,4,0
-22.0,9.0,17.0,-7.0,10,0
1.0,5.0,0.0,1.0,5,2
3.0,-4.0,1.0,-1.0,5,0
75.0,-119.0,-46.0,73.0,11,0
-1.0,0.0,2.0,-1.0,4,0
5.0,2.0,2.0,1.0,4,3
4.0,-3.0,-1.0,1.0,4,1
-3.0,2.0,-11.0,7.0,7,1
1.0,-2.0,0.0,1.0,2,0
7.0,-4.0,9.0,-5.0,7,0
14.0,11.0,5.0,4.0,7,3
3.0,-11.0,2.0,-7.0,7,0
3.0,4.0,-4.0,-5.0,6,2
4.0,1.0,-1.0,0.0,5,2
5.0,3.0,18.0,11.0,7,3
-1.0,2.0,-4.0,7.0,6,0
19.0,-12.0,8.0,-5.0,8,0
-33.0,-28.0,13.0,11.0,11,3
0.0,-1.0,1.0,-1.0,4,0
0.0,1.0,-1.0,2.0,3,0
-1.0,-1.0,-1.0,-2.0,6,0
5.0,-4.0,4.0,-3.0,6,0
-3.0,-1.0,-8.0,-3.0,7,2
