val1,val2,val3,val4
-2.0,-5.0,1.0,2.0
5.0,3.0,8.0,5.0
-17.0,-7.0,5.0,2.0
-1.0,-1.0,1.0,0.0
5.0,-2.0,8.0,-3.0
0.0,1.0,-1.0,-1.0
-1.0,-1.0,-1.0,-2.0
-1.0,0.0,2.0,-1.0
-2.0,1.0,-1.0,0.0
1.0,1.0,1.0,2.0
-7.0,3.0,-5.0,2.0
3.0,5.0,1.0,2.0
-3.0,1.0,5.0,-2.0
3.0,-8.0,2.0,-5.0
0.0,-1.0,1.0,-2.0
11.0,-47.0,15.0,-64.0
-9.0,4.0,-16.0,7.0
1.0,-1.0,-1.0,2.0
1.0,3.0,-1.0,-2.0
-11.0,-5.0,-2.0,-1.0
3.0,2.0,-2.0,-1.0
-3.0,5.0,-2.0,3.0
4.0,-1.0,-7.0,2.0
-1.0,-5.0,0.0,-1.0
7.0,31.0,2.0,9.0
33.0,10.0,23.0,7.0
-1.0,0.0,-3.0,-1.0
-56.0,39.0,33.0,-23.0
0.0,1.0,-1.0,0.0
15.0,11.0,-26.0,-19.0
1.0,5.0,0.0,1.0
-9.0,-5.0,2.0,1.0
27.0,37.0,8.0,11.0
7.0,3.0,-26.0,-11.0
9.0,-16.0,4.0,-7.0
4.0,3.0,5.0,4.0
18.0,-5.0,-7.0,2.0
-3.0,8.0,-5.0,13.0
1.0,2.0,3.0,7.0
8.0,-11.0,-5.0,7.0
-5.0,3.0,-7.0,4.0
-1.0,0.0,2.0,-1.0
-22.0,9.0,17.0,-7.0
1.0,5.0,0.0,1.0
3.0,-4.0,1.0,-1.0
75.0,-119.0,-46.0,73.0
-1.0,0.0,2.0,-1.0
5.0,2.0,2.0,1.0
4.0,-3.0,-1.0,1.0
-3.0,2.0,-11.0,7.0
1.0,-2.0,0.0,1.0
7.0,-4.0,9.0,-5.0
14.0,11.0,5.0,4.0
3.0,-11.0,2.0,-7.0
3.0,4.0,-4.0,-5.0
4.0,1.0,-1.0,0.0
5.0,3.0,18.0,11.0
-1.0,2.0,-4.0,7.0
19.0,-12.0,8.0,-5.0
-33.0,-28.0,13.0,11.0
0.0,-1.0,1.0,-1.0
0.0,1.0,-1.0,2.0
-1.0,-1.0,-1.0,-2.0
5.0,-4.0,4.0,-3.0
-3.0,-1.0,-8.0,-3.0
3.0,-1.0,1.0,0.0
3.0,-2.0,5.0,-3.0
1.0,0.0,-1.0,1.0
11.0,-7.0,8.0,-5.0
2.0,-5.0,3.0,-7.0
-7.0,-23.0,-24.0,-79.0
7.0,5.0,11.0,8.0
13.0,-21.0,18.0,-29.0
23.0,-42.0,-6.0,11.0
-8.0,-29.0,5.0,18.0
1.0,-2.0,0.0,1.0
1.0,-1.0,6.0,-5.0
5.0,3.0,-7.0,-4.0
-22.0,29.0,-19.0,25.0
2.0,-7.0,1.0,-3.0
0.0,1.0,-1.0,4.0
7.0,2.0,3.0,1.0
45.0,-38.0,32.0,-27.0
-9.0,-25.0,4.0,11.0
-1.0,2.0,-6.0,11.0
1.0,1.0,-2.0,-1.0
7.0,-2.0,11.0,-3.0
5.0,-1.0,1.0,0.0
1.0,0.0,6.0,1.0
-2.0,-3.0,-5.0,-8.0
7.0,-30.0,11.0,-47.0
0.0,-1.0,1.0,2.0
7.0,4.0,-2.0,-1.0
-185.0,117.0,117.0,-74.0
-1.0,1.0,0.0,-1.0
-7.0,4.0,-9.0,5.0
-7.0,2.0,-11.0,3.0
0.0,-1.0,1.0,2.0
-8.0,-27.0,-13.0,-44.0
-1.0,1.0,-1.0,0.0
26.0,11.0,-45.0,-19.0
1.0,1.0,-1.0,0.0
-1.0,-1.0,0.0,-1.0
-3.0,1.0,-7.0,2.0
-3.0,8.0,1.0,-3.0
27.0,-8.0,17.0,-5.0
22.0,79.0,-17.0,-61.0
-3.0,4.0,5.0,-7.0
280.0,-107.0,123.0,-47.0
4.0,-3.0,-5.0,4.0
0.0,-1.0,1.0,1.0
23.0,-41.0,9.0,-16.0
1.0,-2.0,0.0,1.0
3.0,-7.0,1.0,-2.0
1.0,-3.0,1.0,-2.0
12.0,-19.0,7.0,-11.0
3.0,5.0,4.0,7.0
30.0,7.0,47.0,11.0
1.0,-2.0,1.0,-1.0
-2.0,-9.0,-5.0,-23.0
7.0,-5.0,-4.0,3.0
9.0,-4.0,-2.0,1.0
-3.0,4.0,-1.0,1.0
3.0,-4.0,-5.0,7.0
-3.0,1.0,-1.0,0.0
-1.0,1.0,0.0,-1.0
8.0,27.0,-11.0,-37.0
5.0,-8.0,7.0,-11.0
-1.0,4.0,-2.0,7.0
-3.0,-4.0,1.0,1.0
