val1,val2,val3,val4
-227.0,-520.0,86.0,197.0
29.0,12.0,70.0,29.0
1657.0,298.0,-506.0,-91.0
-43.0,16.0,8.0,-3.0
65.0,-112.0,148.0,-255.0
-147.0,86.0,94.0,-55.0
449.0,946.0,-290.0,-611.0
1313.0,2346.0,-830.0,-1483.0
109.0,-64.0,46.0,-27.0
-11.0,-4.0,-52.0,-19.0
-67.0,12.0,-28.0,5.0
9.0,22.0,2.0,5.0
-255.0,404.0,-1364.0,2161.0
-1335.0,494.0,-554.0,205.0
-3.0,-2.0,-16.0,-11.0
77.0,-628.0,276.0,-2251.0
-219.0,50.0,-530.0,121.0
-11.0,-8.0,40.0,29.0
-119.0,162.0,202.0,-275.0
-623.0,-142.0,-136.0,-31.0
9.0,4.0,-16.0,-7.0
-15.0,34.0,-4.0,9.0
61.0,-8.0,-38.0,5.0
29.0,140.0,6.0,29.0
73.0,698.0,16.0,153.0
2577.0,404.0,1078.0,169.0
725.0,-1182.0,468.0,-763.0
-13283.0,21516.0,5400.0,-8747.0
189.0,338.0,52.0,93.0
-1059.0,-476.0,1346.0,605.0
1.0,10.0,0.0,1.0
-39.0,-10.0,4.0,1.0
501.0,1796.0,778.0,2789.0
-3011.0,-540.0,1946.0,349.0
-327.0,796.0,-76.0,185.0
13.0,6.0,28.0,13.0
141.0,-22.0,-32.0,5.0
-39.0,100.0,-94.0,241.0
13.0,34.0,60.0,157.0
53.0,-118.0,-22.0,49.0
-71.0,114.0,-38.0,61.0
-7.0,12.0,4.0,-7.0
1937.0,1416.0,-896.0,-655.0
-179.0,-116.0,-54.0,-35.0
9.0,-20.0,14.0,-31.0
2601.0,-9790.0,-1148.0,4321.0
-7.0,12.0,4.0,-7.0
41.0,16.0,64.0,25.0
-1847.0,3120.0,724.0,-1223.0
-39.0,16.0,-178.0,73.0
1.0,-4.0,0.0,1.0
121.0,-50.0,288.0,-119.0
125.0,58.0,28.0,13.0
9.0,-58.0,16.0,-103.0
-147.0,-346.0,82.0,193.0
37.0,8.0,-14.0,-3.0
17.0,30.0,132.0,233.0
-31.0,76.0,-20.0,49.0
217.0,-96.0,52.0,-23.0
-2223.0,-3968.0,386.0,689.0
-3.0,-2.0,-10.0,-7.0
-27.0,116.0,10.0,-43.0
773.0,2614.0,490.0,1657.0
-163.0,202.0,-46.0,57.0
1257.0,274.0,812.0,177.0
9.0,-2.0,14.0,-3.0
-2607.0,1436.0,-5942.0,3273.0
1.0,0.0,-2.0,1.0
89.0,-158.0,40.0,-71.0
5.0,-22.0,18.0,-79.0
3857.0,12734.0,2484.0,8201.0
-539.0,-248.0,376.0,173.0
241.0,-582.0,576.0,-1391.0
929.0,-3516.0,-144.0,545.0
-647.0,-1702.0,268.0,705.0
25.0,-16.0,36.0,-23.0
-899.0,196.0,-8646.0,1885.0
149.0,264.0,-92.0,-163.0
-331.0,706.0,-158.0,337.0
209.0,-1334.0,290.0,-1851.0
-207.0,-76.0,-1370.0,-503.0
289.0,220.0,222.0,169.0
-14151.0,5126.0,-26030.0,9429.0
-135.0,-578.0,32.0,137.0
-19.0,46.0,-126.0,305.0
-47.0,14.0,104.0,-31.0
325.0,-514.0,184.0,-291.0
809.0,-1406.0,1286.0,-2235.0
1.0,0.0,12.0,1.0
-11.0,-42.0,-28.0,-107.0
1393.0,-6450.0,3400.0,-15743.0
-3.0,-14.0,-4.0,-19.0
49.0,20.0,-76.0,-31.0
48913.0,-21186.0,-20310.0,8797.0
-7.0,26.0,-24.0,89.0
-79.0,32.0,-42.0,17.0
-103.0,16.0,-58.0,9.0
-3.0,-26.0,-16.0,-139.0
-515.0,-1326.0,-1244.0,-3203.0
-7.0,2.0,10.0,-3.0
1061.0,1846.0,-2418.0,-4207.0
-11.0,-4.0,-8.0,-3.0
89.0,-26.0,24.0,-7.0
237.0,170.0,994.0,713.0
-15.0,112.0,2.0,-15.0
321.0,-52.0,142.0,-23.0
-14459.0,-66370.0,6074.0,27881.0
-51.0,122.0,28.0,-67.0
18253.0,-3166.0,4422.0,-767.0
373.0,-168.0,1250.0,-563.0
-3.0,4.0,8.0,-11.0
30917.0,-17536.0,11712.0,-6643.0
1.0,-4.0,0.0,1.0
129.0,-338.0,50.0,-131.0
-35.0,-24.0,-16.0,-11.0
237.0,-578.0,98.0,-239.0
-279.0,-1322.0,-172.0,-815.0
261.0,32.0,628.0,77.0
13.0,-34.0,44.0,-115.0
-59.0,-270.0,-262.0,-1199.0
73.0,-130.0,-32.0,57.0
-3027.0,1156.0,1160.0,-443.0
