val1,val2,val3,val4
-11.0,-9.0,-6.0,-5.0
8.0,-13.0,-11.0,18.0
-1.0,-1.0,0.0,-1.0
-105.0,64.0,41.0,-25.0
-4.0,13.0,-13.0,42.0
1.0,0.0,3.0,1.0
8.0,-21.0,-3.0,8.0
12.0,-7.0,-17.0,10.0
-7.0,-19.0,-4.0,-11.0
-4.0,1.0,-1.0,0.0
1.0,4.0,-1.0,-3.0
4.0,11.0,-3.0,-8.0
9.0,-2.0,23.0,-5.0
1.0,-1.0,2.0,-1.0
-3.0,-1.0,4.0,1.0
-2.0,3.0,1.0,-2.0
-1.0,3.0,0.0,-1.0
1.0,1.0,0.0,1.0
-5.0,13.0,-2.0,5.0
3.0,4.0,-1.0,-1.0
-2.0,-1.0,1.0,0.0
67.0,-39.0,-12.0,7.0
22.0,79.0,5.0,18.0
-1.0,0.0,-3.0,-1.0
2.0,-1.0,1.0,0.0
-1.0,4.0,-1.0,3.0
41.0,-29.0,-24.0,17.0
5.0,-9.0,-6.0,11.0
7.0,-4.0,-5.0,3.0
-13.0,-5.0,8.0,3.0
-7.0,5.0,4.0,-3.0
-7.0,17.0,16.0,-39.0
12.0,-5.0,5.0,-2.0
-7.0,-8.0,15.0,17.0
30.0,-19.0,79.0,-50.0
-5.0,2.0,-13.0,5.0
-1.0,-4.0,-1.0,-5.0
8.0,-5.0,-3.0,2.0
11.0,4.0,-3.0,-1.0
-1.0,5.0,0.0,-1.0
-18.0,-29.0,5.0,8.0
1.0,2.0,1.0,3.0
-1.0,-3.0,0.0,-1.0
3.0,4.0,-1.0,-1.0
73.0,133.0,-28.0,-51.0
-98.0,-43.0,-41.0,-18.0
18.0,25.0,-13.0,-18.0
-1.0,3.0,0.0,-1.0
-4.0,-3.0,-5.0,-4.0
1.0,2.0,1.0,3.0
-4.0,3.0,-3.0,2.0
0.0,1.0,-1.0,-2.0
0.0,1.0,-1.0,-2.0
5.0,2.0,-3.0,-1.0
9.0,-11.0,-4.0,5.0
-1.0,0.0,3.0,-1.0
-4.0,-5.0,-3.0,-4.0
-17.0,-31.0,-6.0,-11.0
-6.0,-11.0,11.0,20.0
5.0,2.0,-13.0,-5.0
4.0,-19.0,-5.0,24.0
2.0,-3.0,-1.0,2.0
11.0,4.0,-3.0,-1.0
-22.0,-9.0,5.0,2.0
-2.0,9.0,-1.0,4.0
0.0,-1.0,1.0,2.0
19.0,-46.0,-7.0,17.0
-23.0,7.0,-10.0,3.0
26.0,41.0,19.0,30.0
-3.0,-2.0,-1.0,-1.0
4.0,7.0,1.0,2.0
7.0,2.0,3.0,1.0
10.0,3.0,-7.0,-2.0
8.0,3.0,5.0,2.0
7.0,5.0,4.0,3.0
19.0,-8.0,-7.0,3.0
0.0,-1.0,1.0,2.0
-2.0,3.0,1.0,-2.0
-29.0,6.0,-5.0,1.0
-1.0,-1.0,0.0,-1.0
4.0,-11.0,-5.0,14.0
2.0,-3.0,-1.0,2.0
15.0,-4.0,-11.0,3.0
-2.0,1.0,-9.0,4.0
-1.0,-2.0,3.0,5.0
6.0,5.0,-5.0,-4.0
-2.0,-1.0,1.0,0.0
25.0,-39.0,-16.0,25.0
1.0,-5.0,2.0,-9.0
-5.0,4.0,-9.0,7.0
-74.0,45.0,23.0,-14.0
2.0,-1.0,-11.0,6.0
3.0,-1.0,4.0,-1.0
0.0,1.0,-1.0,0.0
-18.0,7.0,5.0,-2.0
-2.0,-1.0,1.0,0.0
1.0,-1.0,0.0,1.0
-2.0,-5.0,1.0,2.0
4.0,-1.0,1.0,0.0
43.0,12.0,25.0,7.0
1.0,1.0,-4.0,-3.0
1.0,0.0,-1.0,1.0
46.0,29.0,19.0,12.0
-1.0,0.0,1.0,-1.0
-2.0,-5.0,5.0,12.0
1.0,2.0,1.0,3.0
5.0,6.0,-1.0,-1.0
1.0,-5.0,2.0,-9.0
5.0,9.0,6.0,11.0
-5.0,8.0,13.0,-21.0
1.0,6.0,3.0,19.0
1.0,-5.0,-2.0,11.0
10.0,3.0,-7.0,-2.0
100.0,-37.0,-27.0,10.0
7.0,34.0,1.0,5.0
1.0,1.0,6.0,7.0
-8.0,-3.0,-5.0,-2.0
33.0,7.0,14.0,3.0
-18.0,5.0,7.0,-2.0
-1.0,1.0,0.0,-1.0
3.0,5.0,4.0,7.0
2.0,3.0,1.0,2.0
-2.0,-1.0,1.0,0.0
3.0,8.0,1.0,3.0
-34.0,-13.0,21.0,8.0
-3.0,-5.0,2.0,3.0
4.0,-1.0,-7.0,2.0
-2.0,-7.0,3.0,10.0
0.0,1.0,-1.0,0.0
-2.0,-3.0,-1.0,-2.0
-1.0,1.0,0.0,-1.0
-4.0,-3.0,19.0,14.0
7.0,-24.0,5.0,-17.0
-11.0,15.0,52.0,-71.0
-2.0,-1.0,-7.0,-4.0
-5.0,24.0,1.0,-5.0
7.0,-6.0,-1.0,1.0
-3.0,2.0,-5.0,3.0
-11.0,8.0,-7.0,5.0
13.0,-19.0,-2.0,3.0
-1.0,2.0,-1.0,1.0
1.0,-3.0,-2.0,7.0
20.0,-7.0,23.0,-8.0
-6.0,-7.0,19.0,22.0
-4.0,3.0,5.0,-4.0
5.0,33.0,-2.0,-13.0
-13.0,15.0,6.0,-7.0
-9.0,-5.0,2.0,1.0
-1.0,0.0,-5.0,-1.0
5.0,-1.0,-4.0,1.0
17.0,-23.0,54.0,-73.0
4.0,-5.0,-3.0,4.0
-5.0,19.0,-4.0,15.0
-10.0,-17.0,-7.0,-12.0
-69.0,-29.0,50.0,21.0
1.0,1.0,-2.0,-1.0
-6.0,11.0,1.0,-2.0
-1.0,5.0,-2.0,9.0
-1.0,0.0,-1.0,-1.0
2.0,1.0,-1.0,0.0
1.0,-4.0,-5.0,21.0
-37.0,85.0,10.0,-23.0
-3.0,-4.0,1.0,1.0
8.0,-13.0,-11.0,18.0
0.0,1.0,-1.0,0.0
-5.0,-11.0,-4.0,-9.0
2.0,-7.0,-1.0,4.0
-14.0,3.0,9.0,-2.0
-1.0,0.0,-3.0,-1.0
-1.0,1.0,0.0,-1.0
-1.0,5.0,0.0,-1.0
-1.0,0.0,5.0,-1.0
4.0,-11.0,11.0,-30.0
-5.0,4.0,1.0,-1.0
5.0,-2.0,13.0,-5.0
-1.0,4.0,-1.0,3.0
-1.0,2.0,-1.0,1.0
-8.0,3.0,-11.0,4.0
4.0,-1.0,1.0,0.0
-1.0,-2.0,-1.0,-3.0
4.0,3.0,-3.0,-2.0
-5.0,-3.0,2.0,1.0
0.0,-1.0,1.0,0.0
3.0,2.0,1.0,1.0
0.0,-1.0,1.0,-2.0
-1.0,-3.0,0.0,-1.0
3.0,-5.0,2.0,-3.0
1.0,-1.0,0.0,1.0
-17.0,-31.0,-6.0,-11.0
-10.0,-7.0,3.0,2.0
-4.0,-7.0,-1.0,-2.0
1.0,1.0,2.0,3.0
-12.0,-7.0,7.0,4.0
5.0,-3.0,2.0,-1.0
-1.0,0.0,3.0,-1.0
9.0,7.0,-4.0,-3.0
-5.0,-26.0,1.0,5.0
-3.0,1.0,2.0,-1.0
1.0,1.0,-4.0,-3.0
0.0,-1.0,1.0,0.0
-4.0,5.0,-5.0,6.0
-1.0,2.0,1.0,-3.0
1.0,0.0,-1.0,1.0
-4.0,-11.0,3.0,8.0
-1.0,-2.0,-3.0,-7.0
-4.0,15.0,1.0,-4.0
0.0,-1.0,1.0,0.0
-30.0,41.0,19.0,-26.0
1.0,-1.0,0.0,1.0
-8.0,-5.0,-3.0,-2.0
5.0,-4.0,9.0,-7.0
-13.0,-2.0,-19.0,-3.0
-1.0,-3.0,0.0,-1.0
11.0,6.0,9.0,5.0
6.0,-11.0,-1.0,2.0
-2.0,15.0,1.0,-8.0
-43.0,-27.0,8.0,5.0
-2.0,-11.0,-1.0,-6.0
-7.0,2.0,31.0,-9.0
18.0,5.0,43.0,12.0
21.0,-80.0,5.0,-19.0
39.0,103.0,14.0,37.0
-4.0,1.0,7.0,-2.0
-1.0,-4.0,-3.0,-13.0
-2.0,-5.0,1.0,2.0
3.0,-7.0,-2.0,5.0
12.0,-5.0,5.0,-2.0
-3.0,-1.0,4.0,1.0
-2.0,-3.0,-5.0,-8.0
0.0,1.0,-1.0,6.0
1.0,0.0,-1.0,1.0
-3.0,2.0,1.0,-1.0
17.0,6.0,-3.0,-1.0
4.0,3.0,-3.0,-2.0
4.0,-9.0,-7.0,16.0
1.0,-5.0,0.0,1.0
-3.0,-1.0,16.0,5.0
-8.0,13.0,-5.0,8.0
-162.0,-35.0,-37.0,-8.0
-45.0,73.0,8.0,-13.0
1.0,-5.0,0.0,1.0
-3.0,-5.0,-4.0,-7.0
2.0,-3.0,-1.0,2.0
13.0,-3.0,-4.0,1.0
-4.0,1.0,-1.0,0.0
-3.0,-5.0,2.0,3.0
-18.0,7.0,5.0,-2.0
1.0,0.0,1.0,1.0
-1.0,3.0,0.0,-1.0
-32.0,-7.0,-9.0,-2.0
7.0,17.0,16.0,39.0
17.0,-29.0,10.0,-17.0
4.0,-9.0,1.0,-2.0
-37.0,16.0,-7.0,3.0
1.0,1.0,-2.0,-1.0
-1.0,0.0,1.0,-1.0
4.0,-3.0,3.0,-2.0
11.0,16.0,-9.0,-13.0
-7.0,-18.0,9.0,23.0
1.0,5.0,0.0,1.0
7.0,19.0,4.0,11.0
-1.0,9.0,2.0,-19.0
-2.0,-1.0,-3.0,-2.0
-2.0,-3.0,-5.0,-8.0
-2.0,-1.0,9.0,4.0
13.0,-6.0,-15.0,7.0
5.0,6.0,-1.0,-1.0
5.0,-8.0,-3.0,5.0
2.0,-1.0,1.0,0.0
-1.0,-2.0,1.0,1.0
0.0,-1.0,1.0,-2.0
23.0,30.0,13.0,17.0
2.0,1.0,3.0,2.0
1.0,-5.0,0.0,1.0
-21.0,8.0,13.0,-5.0
9.0,11.0,4.0,5.0
-37.0,-29.0,-14.0,-11.0
7.0,-29.0,-6.0,25.0
