val1,val2,val3,val4,num_moves_Q_learning_needs,first_move_by_Q_learning
-12095.0,-37578.0,40167.0,124795.0,-1,2
-24155.0,-69888.0,-4143.0,-11987.0,-1,0
7601779.0,25624080.0,-2266815.0,-7640981.0,-1,3
28945.0,-8727.0,10713.0,-3230.0,-1,1
-2825292635.0,-968273259.0,1046805129.0,358756966.0,-1,0
8082032059.0,1436387757.0,-2436814653.0,-433085480.0,-1,0
-233.0,1485.0,1323.0,-8432.0,-1,0
308467.0,-1041951.0,831834.0,-2809799.0,-1,0
1.0,0.0,6.0,1.0,2,3
-1619.0,9231.0,-600.0,3421.0,9,0
217.0,-75.0,-1383.0,478.0,-1,3
150004.0,-57291.0,-1294497.0,494407.0,-1,1
-80721287.0,-272014515.0,-227819505.0,-767705948.0,-1,3
379.0,1077.0,-3531.0,-10034.0,10,2
271.0,2343.0,48.0,415.0,9,2
-188.0,57.0,-597.0,181.0,6,1
-1057994.0,3493143.0,2860629.0,-9444842.0,-1,3
36271.0,96939.0,13413.0,35848.0,-1,2
271.0,-96.0,48.0,-17.0,6,1
1153.0,-393.0,-399.0,136.0,-1,0
213049.0,673746.0,601302.0,1901557.0,-1,0
93637.0,16578.0,16476.0,2917.0,-1,2
-1601.0,474.0,483.0,-143.0,7,1
37.0,-6.0,-6.0,1.0,4,1
-152.0,957.0,-1341.0,8443.0,-1,0
230959.0,-2103474.0,761394.0,-6934445.0,-1,1
430266781.0,-130322256.0,-151430964.0,45866485.0,-1,3
-118970.0,36087.0,-338013.0,102529.0,-1,1
157970386.0,-490749279.0,-449151753.0,1395330508.0,-1,2
1147969.0,-9985461.0,-363066.0,3158083.0,-1,0
1.0,0.0,15.0,1.0,5,3
-332.0,-1023.0,1119.0,3448.0,-1,0
-138968.0,42069.0,780915.0,-236402.0,-1,1
82.0,255.0,-483.0,-1502.0,9,2
-12977.0,-4812.0,-4803.0,-1781.0,-1,0
3349.0,-9054.0,-1059.0,2863.0,9,0
-218501.0,620121.0,18792.0,-53333.0,-1,1
-17.0,-57.0,-99.0,-332.0,6,2
-185345.0,1167072.0,-1046868.0,6591871.0,-1,0
1.0,-9.0,-3.0,28.0,4,0
2151847.0,-13732782.0,652905.0,-4166747.0,-1,0
13462255.0,45401508.0,-38026347.0,-128244005.0,-1,1
-2175866.0,830583.0,-765789.0,292321.0,-1,1
15139.0,-50289.0,4863.0,-16154.0,-1,3
-1987487.0,5750619.0,-168021.0,486154.0,-1,0
4503763.0,790344.0,772686.0,135595.0,-1,3
-622734317.0,-53549364.0,109672677.0,9430831.0,-1,0
-3556907.0,-11989452.0,20264097.0,68305249.0,-1,2
503479.0,56967.0,-161622.0,-18287.0,-1,2
73.0,27.0,27.0,10.0,4,3
1201569481.0,-364311195.0,-188404596.0,57123541.0,-1,3
5255848.0,-1998993.0,1705785.0,-648773.0,-1,0
579772.0,175875.0,-5421975.0,-1644767.0,-1,2
3277.0,1215.0,-9270.0,-3437.0,-1,0
-174071580335.0,-52102164642.0,52505811783.0,15715755811.0,-1,0
-8261.0,2856.0,-888.0,307.0,-1,1
106822.0,927765.0,32355.0,281008.0,-1,3
-219887.0,-575715.0,66666.0,174547.0,-1,1
21774799.0,-69181293.0,7710378.0,-24496847.0,-1,1
51166.0,-5883.0,-138243.0,15895.0,-1,0
989182.0,-300135.0,-2654703.0,805483.0,-1,0
-1151.0,426.0,435.0,-161.0,7,1
-68795.0,24204.0,-391899.0,137881.0,-1,0
1288.0,-453.0,381.0,-134.0,7,1
486471223.0,-144347403.0,145132668.0,-43064261.0,-1,1
-1962746.0,221985.0,-12394155.0,1401769.0,-1,0
55783.0,-21024.0,146571.0,-55241.0,-1,3
26848.0,-8619.0,-7965.0,2557.0,-1,1
199.0,63.0,-537.0,-170.0,6,3
-11049137.0,-3915327.0,31393059.0,11124316.0,-1,0
936583453.0,352991733.0,-353977971.0,-133411814.0,-1,2
1936.0,-159.0,207.0,-17.0,-1,0
37.0,117.0,6.0,19.0,5,2
-6631415.0,42247098.0,-21057312.0,134150905.0,-1,0
-134.0,-753.0,21.0,118.0,7,2
