val1,val2,val3,val4
49.0,-226.0,18.0,-83.0
961.0,3388.0,-3138.0,-11063.0
2209.0,1438.0,-3802.0,-2475.0
17.0,4.0,140.0,33.0
1.0,-2.0,0.0,1.0
241.0,622.0,-136.0,-351.0
116697.0,-64090.0,184390.0,-101267.0
1.0,0.0,-2.0,1.0
-1851.0,1186.0,-12250.0,7849.0
1.0,0.0,0.0,1.0
5.0,-12.0,-12.0,29.0
861.0,338.0,-242.0,-95.0
-127.0,326.0,224.0,-575.0
-1819.0,-4686.0,6882.0,17729.0
1.0,2.0,-6.0,-11.0
5.0,12.0,2.0,5.0
-7.0,-2.0,4.0,1.0
9.0,-14.0,20.0,-31.0
1069.0,4876.0,-1730.0,-7891.0
53533.0,-14818.0,-19570.0,5417.0
-5967.0,38482.0,-15178.0,97885.0
-440399.0,-813482.0,-238930.0,-441339.0
237.0,152.0,-1040.0,-667.0
713.0,296.0,3182.0,1321.0
1.0,-2.0,-2.0,5.0
1.0,2.0,2.0,5.0
121.0,-56.0,-54.0,25.0
5.0,-12.0,8.0,-19.0
-27.0,128.0,166.0,-787.0
149.0,-390.0,-34.0,89.0
-29803.0,12350.0,6436.0,-2667.0
-76987.0,16946.0,32324.0,-7115.0
21.0,2.0,10.0,1.0
1.0,2.0,0.0,1.0
21.0,-34.0,-8.0,13.0
-95.0,66.0,-226.0,157.0
5.0,8.0,-2.0,-3.0
849.0,-1304.0,-334.0,513.0
133.0,54.0,32.0,13.0
-190179.0,-119854.0,-43082.0,-27151.0
-47.0,206.0,-128.0,561.0
-21139.0,-8756.0,-11808.0,-4891.0
-7.0,4.0,-16.0,9.0
1.0,0.0,-4.0,1.0
-43.0,94.0,16.0,-35.0
1.0,4.0,0.0,1.0
25.0,-4.0,-6.0,1.0
121.0,56.0,-188.0,-87.0
1.0,-4.0,-2.0,9.0
-3.0,-2.0,2.0,1.0
8645.0,-3274.0,23614.0,-8943.0
33.0,-10.0,10.0,-3.0
49.0,-6.0,-8.0,1.0
1.0,4.0,0.0,1.0
-331.0,1532.0,-148.0,685.0
-39.0,-22.0,-140.0,-79.0
665.0,-1072.0,-482.0,777.0
141.0,104.0,-80.0,-59.0
13.0,2.0,-72.0,-11.0
-2955.0,-7588.0,-1238.0,-3179.0
37.0,10.0,-100.0,-27.0
442733.0,-198288.0,990056.0,-443419.0
-64707.0,-158674.0,37588.0,92173.0
1.0,0.0,0.0,1.0
5.0,-12.0,-2.0,5.0
-38275.0,17192.0,-23628.0,10613.0
1.0,-2.0,-2.0,5.0
409.0,190.0,-282.0,-131.0
-11.0,-2.0,28.0,5.0
-6831.0,-2606.0,2540.0,969.0
-172791.0,-45278.0,-46432.0,-12167.0
-1151.0,-5132.0,5234.0,23337.0
1.0,-2.0,-2.0,5.0
-5183.0,-2798.0,-3288.0,-1775.0
1.0,0.0,2.0,1.0
-35.0,-24.0,-16.0,-11.0
-111.0,-88.0,304.0,241.0
-39.0,62.0,100.0,-159.0
-3.0,-8.0,2.0,5.0
-687.0,-472.0,2470.0,1697.0
13.0,-6.0,-2.0,1.0
2225.0,-1018.0,3932.0,-1799.0
693.0,184.0,1676.0,445.0
1.0,-2.0,-4.0,9.0
-11.0,28.0,64.0,-163.0
61.0,-166.0,104.0,-283.0
9.0,14.0,16.0,25.0
-91.0,50.0,202.0,-111.0
405.0,-1154.0,1454.0,-4143.0
-7.0,4.0,-2.0,1.0
101.0,166.0,592.0,973.0
5.0,22.0,2.0,9.0
-10339.0,-45596.0,-23748.0,-104731.0
1.0,10.0,0.0,1.0
-171.0,-22.0,70.0,9.0
1.0,0.0,6.0,1.0
-1171.0,-636.0,-742.0,-403.0
-54763.0,-118482.0,144826.0,313337.0
1.0,2.0,0.0,1.0
157137.0,-41998.0,-65750.0,17573.0
6461.0,3814.0,-1672.0,-987.0
221.0,-526.0,492.0,-1171.0
10877.0,-6832.0,-7064.0,4437.0
1.0,-4.0,0.0,1.0
-1539.0,3674.0,958.0,-2287.0
5.0,2.0,2.0,1.0
-4655.0,6324.0,7366.0,-10007.0
-5371.0,-1448.0,-842.0,-227.0
2585.0,8546.0,1134.0,3749.0
-14555.0,4338.0,-62612.0,18661.0
1.0,2.0,6.0,13.0
-35.0,-78.0,22.0,49.0
-7.0,-2.0,4.0,1.0
23333.0,62970.0,-8820.0,-23803.0
-3.0,-2.0,-4.0,-3.0
-7.0,16.0,-4.0,9.0
-5758883.0,-10157748.0,-1091874.0,-1925891.0
-30487.0,133756.0,3736.0,-16391.0
5.0,-2.0,-12.0,5.0
-35.0,22.0,132.0,-83.0
-12527.0,-3526.0,32092.0,9033.0
5.0,8.0,48.0,77.0
4689.0,-2974.0,-2108.0,1337.0
-27.0,-34.0,4.0,5.0
1.0,2.0,0.0,1.0
49.0,176.0,272.0,977.0
213.0,-88.0,-806.0,333.0
-83.0,136.0,36.0,-59.0
29.0,70.0,12.0,29.0
-83.0,-130.0,136.0,213.0
69.0,40.0,188.0,109.0
-35.0,16.0,24.0,-11.0
1.0,2.0,0.0,1.0
5.0,4.0,-14.0,-11.0
1897.0,-4580.0,6514.0,-15727.0
877.0,1394.0,-324.0,-515.0
293.0,-134.0,750.0,-343.0
81.0,34.0,536.0,225.0
9.0,14.0,34.0,53.0
-303.0,46.0,-1324.0,201.0
-383.0,-238.0,1392.0,865.0
5.0,4.0,6.0,5.0
-6443.0,-16366.0,-2642.0,-6711.0
-29443.0,42284.0,-65368.0,93877.0
-39.0,-94.0,178.0,429.0
-1601547.0,620216.0,697378.0,-270067.0
-3.0,4.0,2.0,-3.0
-63.0,26.0,46.0,-19.0
-111.0,176.0,70.0,-111.0
-3.0,38.0,-8.0,101.0
-3.0,-8.0,8.0,21.0
5405.0,2416.0,-9546.0,-4267.0
17545.0,28752.0,6342.0,10393.0
245.0,528.0,58.0,125.0
5.0,-12.0,-2.0,5.0
-151.0,-56.0,542.0,201.0
-3435.0,-958.0,-398.0,-111.0
-309039.0,-179518.0,712390.0,413821.0
-7.0,4.0,-2.0,1.0
1.0,-2.0,-4.0,9.0
-31.0,-8.0,4.0,1.0
18513.0,-4076.0,3302.0,-727.0
7609.0,-11726.0,2094.0,-3227.0
-1563.0,6496.0,-442.0,1837.0
905.0,-328.0,-5808.0,2105.0
37.0,-82.0,384.0,-851.0
-383.0,-62.0,4108.0,665.0
-47.0,80.0,178.0,-303.0
-12927.0,-9586.0,32776.0,24305.0
-79.0,-50.0,128.0,81.0
-15.0,-64.0,-26.0,-111.0
149.0,-96.0,104.0,-67.0
145.0,54.0,-384.0,-143.0
-19.0,8.0,-50.0,21.0
17.0,-4.0,30.0,-7.0
288509.0,508110.0,-109650.0,-193111.0
-83.0,-196.0,36.0,85.0
22357.0,-14442.0,-13804.0,8917.0
11449.0,4836.0,7332.0,3097.0
721501.0,-214812.0,1360736.0,-405131.0
53.0,-10.0,16.0,-3.0
-47.0,10.0,14.0,-3.0
25.0,6.0,4.0,1.0
5.0,-8.0,2.0,-3.0
13.0,76.0,-6.0,-35.0
-11.0,-4.0,-8.0,-3.0
-7.0,4.0,-2.0,1.0
26665.0,43568.0,-36452.0,-59559.0
1.0,0.0,-4.0,1.0
-15.0,-4.0,34.0,9.0
1409.0,-3408.0,886.0,-2143.0
-55.0,34.0,-254.0,157.0
-3.0,-2.0,8.0,5.0
-3371.0,1288.0,1306.0,-499.0
109.0,-46.0,718.0,-303.0
9.0,-2.0,-4.0,1.0
15477.0,3730.0,-6502.0,-1567.0
-791.0,-146.0,-2010.0,-371.0
-11.0,8.0,4.0,-3.0
-3.0,-4.0,-8.0,-11.0
-3.0,2.0,4.0,-3.0
26281.0,47712.0,-34252.0,-62183.0
1273.0,2062.0,-192.0,-311.0
37.0,8.0,60.0,13.0
-51.0,232.0,122.0,-555.0
-7.0,-2.0,-10.0,-3.0
-139.0,-82.0,-656.0,-387.0
1.0,0.0,0.0,1.0
-6839.0,-16178.0,31298.0,74037.0
89.0,662.0,-16.0,-119.0
-47.0,34.0,-206.0,149.0
-27.0,-4.0,-20.0,-3.0
-27403.0,98360.0,-15360.0,55133.0
-683.0,-1206.0,-2446.0,-4319.0
-239.0,194.0,-154.0,125.0
521.0,-2244.0,-1436.0,6185.0
1.0,-6.0,0.0,1.0
-3.0,4.0,-4.0,5.0
-3.0,2.0,-8.0,5.0
9629.0,15624.0,-2186.0,-3547.0
-3.0,2.0,-2.0,1.0
1.0,0.0,0.0,1.0
97.0,-326.0,158.0,-531.0
41.0,12.0,-270.0,-79.0
1.0,4.0,0.0,1.0
-371.0,146.0,526.0,-207.0
-807.0,3416.0,-176.0,745.0
-79.0,-22.0,176.0,49.0
605.0,94.0,-2774.0,-431.0
16277617.0,-29040292.0,-29641122.0,52881625.0
229121.0,968644.0,33740.0,142641.0
-19.0,50.0,-8.0,21.0
-43.0,-106.0,372.0,917.0
1873.0,756.0,716.0,289.0
-611.0,-148.0,-1994.0,-483.0
-3.0,-8.0,2.0,5.0
-43.0,-56.0,-76.0,-99.0
49.0,-216.0,-120.0,529.0
-3.0,2.0,-8.0,5.0
2097.0,3970.0,440.0,833.0
-7.0,-10.0,-2.0,-3.0
297.0,166.0,-34.0,-19.0
-8931.0,21776.0,-15692.0,38261.0
57.0,-310.0,-98.0,533.0
977.0,564.0,-220.0,-127.0
-7.0,44.0,10.0,-63.0
-43.0,160.0,18.0,-67.0
5.0,-12.0,-12.0,29.0
-1215.0,2786.0,-686.0,1573.0
61.0,252.0,160.0,661.0
3036253.0,5225886.0,-707786.0,-1218215.0
-343.0,-262.0,-72.0,-55.0
9.0,-14.0,2.0,-3.0
22473.0,-57538.0,4924.0,-12607.0
-11.0,-20.0,-6.0,-11.0
65.0,302.0,82.0,381.0
53.0,30.0,30.0,17.0
-15771.0,-4460.0,-2302.0,-651.0
13.0,2.0,-46.0,-7.0
-47.0,-98.0,294.0,613.0
-5507.0,9808.0,2306.0,-4107.0
-79.0,346.0,-266.0,1165.0
113.0,176.0,52.0,81.0
41.0,98.0,-100.0,-239.0
17.0,58.0,-56.0,-191.0
1.0,0.0,8.0,1.0
1493.0,-6322.0,610.0,-2583.0
-10131.0,21466.0,-7918.0,16777.0
1.0,-2.0,2.0,-3.0
7129.0,4400.0,15828.0,9769.0
1.0,-2.0,0.0,1.0
-2711.0,-1038.0,222.0,85.0
-639.0,842.0,-1640.0,2161.0
1.0,2.0,0.0,1.0
1.0,2.0,0.0,1.0
-15.0,-38.0,2.0,5.0
1.0,0.0,4.0,1.0
17.0,40.0,14.0,33.0
9.0,4.0,2.0,1.0
1.0,0.0,-2.0,1.0
1.0,0.0,-2.0,1.0
1577.0,-2806.0,2796.0,-4975.0
-55.0,24.0,-94.0,41.0
15285.0,9638.0,-4052.0,-2555.0
1229.0,-3148.0,-586.0,1501.0
-18671.0,-39478.0,-7124.0,-15063.0
-3.0,8.0,-2.0,5.0
-479.0,-280.0,-272.0,-159.0
-15.0,2.0,-38.0,5.0
1.0,2.0,-4.0,-7.0
4077.0,1450.0,13814.0,4913.0
73.0,114.0,162.0,253.0
89.0,-558.0,26.0,-163.0
1.0,-2.0,-2.0,5.0
-7971.0,-4186.0,-19520.0,-10251.0
-907.0,-1430.0,-522.0,-823.0
13.0,-4.0,10.0,-3.0
1301.0,5430.0,6292.0,26261.0
-67.0,146.0,-162.0,353.0
-235.0,68.0,38.0,-11.0
-179.0,-132.0,-438.0,-323.0
-615.0,1618.0,848.0,-2231.0
157.0,88.0,1322.0,741.0
-13847.0,8202.0,6076.0,-3599.0
-887.0,366.0,-206.0,85.0
-3299.0,-8634.0,-21834.0,-57143.0
-15.0,-4.0,34.0,9.0
1853.0,-178.0,-7006.0,673.0
-23.0,62.0,10.0,-27.0
-8191.0,19950.0,13882.0,-33811.0
1.0,4.0,-8.0,-31.0
1.0,-8.0,2.0,-15.0
-15.0,4.0,-64.0,17.0
1.0,2.0,4.0,9.0
-7.0,-10.0,-2.0,-3.0
-7.0,-2.0,4.0,1.0
9365.0,2456.0,-15996.0,-4195.0
145.0,64.0,-34.0,-15.0
1.0,2.0,2.0,5.0
-39959.0,-25258.0,-14300.0,-9039.0
-3.0,2.0,4.0,-3.0
53.0,34.0,-92.0,-59.0
1.0,2.0,-4.0,-7.0
-2155.0,-13946.0,9496.0,61453.0
-603.0,-380.0,338.0,213.0
-85175.0,53744.0,147996.0,-93383.0
-2699.0,1026.0,7100.0,-2699.0
14892629.0,26312680.0,-23904322.0,-42234771.0
61.0,388.0,158.0,1005.0
1597.0,-652.0,2202.0,-899.0
13421.0,7414.0,32260.0,17821.0
-811.0,366.0,5174.0,-2335.0
-2019.0,-458.0,5312.0,1205.0
-11.0,6.0,-90.0,49.0
-7.0,26.0,-10.0,37.0
13.0,28.0,6.0,13.0
1.0,2.0,0.0,1.0
-91.0,-246.0,-118.0,-319.0
713.0,386.0,290.0,157.0
-387.0,1708.0,104.0,-459.0
31961.0,-9884.0,115760.0,-35799.0
229.0,64.0,-68.0,-19.0
645.0,1558.0,-142.0,-343.0
-307.0,548.0,-814.0,1453.0
-238799.0,-135208.0,108006.0,61153.0
-19.0,74.0,10.0,-39.0
-7.0,-16.0,4.0,9.0
-11.0,6.0,-24.0,13.0
-71.0,104.0,-170.0,249.0
-1403.0,-1944.0,1014.0,1405.0
65.0,14.0,-14.0,-3.0
-1299.0,338.0,2794.0,-727.0
-2251.0,15422.0,934.0,-6399.0
