val1,val2,val3,val4,num_moves_Q_learning_needs,first_move_by_Q_learning
1.0,0.0,4.0,1.0,2,3
-159.0,574.0,-100.0,361.0,9,0
37.0,-20.0,-172.0,93.0,8,1
-43.0,18.0,-98.0,41.0,6,1
41.0,-24.0,12.0,-7.0,6,1
-151.0,56.0,62.0,-23.0,7,1
17.0,-4.0,-4.0,1.0,4,1
-27.0,118.0,-154.0,673.0,10,0
1.0,0.0,10.0,1.0,5,3
-67.0,-142.0,176.0,373.0,9,2
-487.0,-308.0,-302.0,-191.0,9,3
349.0,-566.0,-156.0,253.0,9,0
-7.0,-18.0,-26.0,-67.0,6,2
1.0,-6.0,-2.0,13.0,4,0
13.0,8.0,8.0,5.0,4,3
-71.0,44.0,50.0,-31.0,7,1
93.0,-52.0,34.0,-19.0,7,1
49.0,22.0,-78.0,-35.0,6,3
381.0,-46.0,58.0,-7.0,10,1
17.0,38.0,4.0,9.0,5,2
-19.0,-62.0,4.0,13.0,7,2
1.0,0.0,2.0,1.0,1,3
-55.0,-84.0,-36.0,-55.0,8,2
-19.0,-84.0,50.0,221.0,7,2
-7.0,-16.0,-10.0,-23.0,5,2
5.0,2.0,12.0,5.0,3,3
9.0,-94.0,-2.0,21.0,8,0
9.0,4.0,38.0,17.0,5,3
13.0,-34.0,-8.0,21.0,5,0
5.0,-12.0,-12.0,29.0,4,0
341.0,-140.0,-246.0,101.0,9,1
-11.0,28.0,-2.0,5.0,5,0
-83.0,-20.0,-112.0,-27.0,8,3
-443.0,186.0,312.0,-131.0,9,1
-19.0,8.0,-12.0,5.0,4,1
557.0,1262.0,350.0,793.0,10,2
-3.0,10.0,-4.0,13.0,5,0
41.0,-52.0,138.0,-175.0,9,0
-27.0,-4.0,34.0,5.0,7,3
1.0,2.0,4.0,9.0,3,2
169.0,-232.0,110.0,-151.0,9,0
-755.0,-478.0,-308.0,-195.0,9,3
-19.0,14.0,4.0,-3.0,5,1
-307.0,480.0,488.0,-763.0,10,0
-127.0,-72.0,-224.0,-127.0,8,3
121.0,772.0,-50.0,-319.0,9,2
1.0,2.0,2.0,5.0,2,2
9.0,40.0,38.0,169.0,7,2
-7.0,-4.0,30.0,17.0,5,3
-235.0,844.0,-164.0,589.0,10,0
-11.0,-14.0,4.0,5.0,5,2
53.0,-14.0,-34.0,9.0,6,1
-155.0,28.0,-72.0,13.0,8,1
1.0,-2.0,0.0,1.0,1,0
13.0,2.0,6.0,1.0,4,3
61.0,-24.0,-94.0,37.0,7,1
9.0,2.0,4.0,1.0,3,3
1.0,-4.0,0.0,1.0,2,0
-23.0,10.0,-30.0,13.0,6,1
13.0,6.0,2.0,1.0,4,3
