val1,val2,val3,last_matrix
1,-5,3,3
-4,-19,-8,2
-15,-164,-1,1
-2,-59,26,2
3,-28,1,1
8,-206,-28,4
-12,-197,8,2
-5,-123,7,3
-1,20,-1,2
-3,7,1,3
11,-46,-7,1
-3,25,9,3
-5,69,15,3
4,17,-4,3
-3,-51,37,1
17,-40,-5,3
-5,30,-5,4
11,12,-1,4
-9,-9,9,2
-8,26,-2,3
-3,-15,7,1
6,21,8,4
-6,17,0,1
-7,159,-11,3
1,21,1,2
6,29,2,3
-14,-113,10,4
-9,-24,3,4
-17,-11,3,3
6,-8,-10,2
-3,-25,9,3
-11,-92,13,3
4,-63,-16,1
-9,-45,19,2
21,73,1,3
7,-2,-3,3
-9,-237,23,3
-9,5,3,2
3,-26,15,3
2,-90,-20,4
-14,75,-4,2
-3,0,-3,3
8,98,18,1
10,107,12,1
6,41,8,4
-4,16,6,2
-17,18,3,1
-12,0,2,3
17,-199,-21,2
6,-170,-12,3
11,-20,1,2
4,-49,12,2
1,19,-3,2
-7,-21,5,4
3,12,-7,4
3,39,-1,2
1,-41,-11,4
-12,-34,-8,2
2,-4,-12,1
14,-7,8,2
-6,88,-4,4
-1,38,-15,3
14,80,6,1
-7,-16,-1,3
6,-16,2,4
1,14,7,3
4,56,14,2
2,0,8,3
7,33,5,1
13,-31,-11,1
18,6,2,4
-3,61,-7,3
-8,45,-18,2
-1,-30,9,2
13,32,-9,3
-1,119,-9,4
13,252,17,2
11,-259,-21,1
-7,-83,3,1
-10,41,2,2
-4,-89,12,4
-2,17,-6,1
5,18,-17,1
18,-68,-8,4
10,70,6,4
0,2,-4,1
4,198,12,4
-20,-134,6,2
-11,64,3,4
12,-171,-24,4
3,-6,-11,4
-4,27,2,1
-5,-11,15,4
1,-17,-11,1
13,21,-1,2
3,6,7,2
21,69,7,3
-22,-100,10,2
3,-65,-15,4
17,271,1,2
7,19,-1,1
0,6,6,4
12,-125,-10,4
-8,6,-2,4
-3,5,1,3
5,7,15,2
-9,82,-9,1
-6,-41,6,3
-12,59,-6,4
-5,52,1,4
-8,201,-20,4
9,100,3,3
20,38,2,1
7,90,13,3
-6,-55,6,3
14,60,8,1
-13,-68,11,1
