val1,val2,val3,last_matrix,first_move_by_Q_learning,Q_table_val
4,2,2,1,1,9880.299600299879
1,-7,-1,4,0,9800.897604194965
-4,40,-8,2,1,9721.517824418455
-1,-14,5,3,1,9800.897604194965
6,-16,-4,4,1,9800.897604194965
-2,-3,-2,2,0,9840.55888139888
3,-3,-5,4,1,9840.55888139888
10,-28,-2,1,0,0.0
9,3,1,3,1,8978.458805171305
-10,14,-4,4,0,9721.812103662596
-8,5,0,2,0,9800.897604194965
5,16,3,3,0,9800.897604194965
-4,12,8,2,2,0.0
-6,-23,12,2,3,9409.237000586383
9,-13,-5,3,1,9721.768926179479
-5,12,-5,2,0,9800.897604194965
-11,11,-1,4,2,9761.31560988418
0,-6,8,1,1,9800.897604194965
-3,20,-5,4,1,9800.897604194965
2,-6,-8,4,2,9800.897089777523
-6,36,-12,4,0,0.0
1,-5,-1,1,0,9840.55888139888
7,13,1,2,3,9800.897604194965
-3,-16,1,3,1,9761.313684400287
-6,-2,-2,4,0,9800.897604194965
-4,-10,10,3,0,9622.126654896774
5,-29,-7,4,2,9761.315299277387
-4,-21,0,3,3,9585.316863738477
-1,-6,5,2,1,9840.55888139888
7,52,11,2,3,0.0
5,4,3,2,1,9840.55888139888
-2,-7,6,2,3,9840.55888139888
-1,-11,5,1,1,9800.897604194965
-4,-11,-4,2,3,9705.247862162149
-5,-18,1,3,1,9761.31560988418
-4,9,-4,4,0,9840.55888139888
-6,-38,8,2,3,9711.733894418405
2,-3,-6,1,1,9840.55888139888
-8,-34,10,2,0,4455.9897992388605
-2,30,-6,3,1,9720.858949949506
5,10,-1,3,3,9795.942471884278
-3,-2,-3,1,0,9840.55888139888
1,-10,11,2,1,0.0
-6,-4,-8,3,0,9580.08804944062
-5,22,-9,2,0,9466.159079182513
4,-3,0,1,1,9880.299600299879
-1,4,13,2,0,7837.822619912747
9,-1,5,2,1,9585.401450025516
-3,-22,7,3,1,9761.31560988418
9,28,9,4,3,9067.858212942321
3,2,-3,1,1,9840.55888139888
