val1,val2,val3,last_matrix
-2,5,0,3
3,-6,-1,4
-1,9,-5,1
-1,-20,7,3
-2,-2,0,4
-6,61,-8,4
7,-16,-5,4
0,-12,4,2
1,19,-5,3
1,-3,-3,1
-4,-2,8,4
0,-6,4,2
-2,-8,-2,3
-3,-41,11,3
-4,-10,2,3
5,-46,-11,4
-6,8,2,1
6,0,-2,3
2,-5,2,1
-1,5,1,4
2,9,4,4
2,-5,4,1
-12,-22,0,2
-6,-19,2,2
1,-6,-1,2
0,-14,-10,4
-1,7,-1,4
-4,2,2,2
-3,49,-11,1
3,-13,-3,4
6,12,2,1
-2,-6,8,2
-3,-12,5,2
4,-15,2,2
-7,46,-9,4
-3,-11,5,3
3,-11,-3,4
1,-10,-3,4
-5,7,-5,3
-4,-8,2,2
-7,15,-3,3
-6,-21,10,3
-1,-10,-3,3
1,-1,-3,1
10,6,4,1
-1,17,3,2
0,35,10,3
-4,-10,4,1
4,3,-2,2
-13,-6,3,4
6,29,2,3
-3,-11,7,4
7,27,1,3
1,-10,5,2
11,-4,3,4
0,15,-12,4
4,12,0,2
-5,18,1,4
3,22,9,2
-5,-37,7,4
-1,13,5,4
2,3,4,3
5,6,3,1
-8,8,0,4
2,-4,-2,2
2,-1,4,3
0,-8,-2,4
-6,-7,6,4
-2,-12,8,3
0,8,-6,4
-10,-32,6,2
-6,-20,10,4
7,-26,-3,4
0,8,0,3
5,-2,3,1
-8,-52,10,2
5,-29,-11,1
9,11,1,2
3,-1,3,4
6,-59,-10,4
2,-3,-4,2
-4,-10,4,3
4,16,2,3
-3,27,-7,4
-5,0,5,3
-8,-26,6,4
-7,30,-5,3
0,1,6,2
1,-11,-1,4
6,25,6,3
-4,6,0,2
12,14,-6,1
8,-15,-10,1
-1,13,-7,4
4,6,0,1
1,26,5,1
-11,16,-3,4
6,1,-4,3
-3,3,1,4
-2,3,-2,4
1,-1,-5,1
-7,5,-5,4
-11,-51,5,1
2,-8,0,1
4,6,2,2
0,26,-8,3
2,-21,-4,2
9,-48,-13,1
0,9,6,4
1,9,-1,4
