val1,val2,val3,last_matrix
10,-30,-4,3
-16,-5,2,3
10,-52,-2,1
-2,-47,2,3
-15,-24,9,3
-9,78,-1,1
11,22,5,1
-7,78,13,1
-6,57,-8,4
4,-54,8,1
-11,-43,5,4
5,3,5,4
4,-3,0,1
1,11,1,4
-19,-85,3,2
-8,-13,6,2
-3,-16,15,2
14,-23,8,2
11,-60,-5,3
-1,49,9,2
4,8,2,1
-11,24,-17,2
-13,79,-7,3
7,115,13,1
12,-33,-10,1
-2,43,4,1
2,45,6,1
3,-14,-13,1
8,0,-4,4
-9,47,-9,3
10,3,10,4
11,-35,-7,4
-9,-125,17,3
-21,-57,5,3
5,28,-5,4
13,80,3,1
8,1,0,4
-6,25,10,3
-2,-22,14,2
1,71,11,3
-4,-25,10,4
-2,125,12,3
-8,-52,2,3
5,4,-5,1
-7,8,3,2
-10,8,-6,2
-6,36,-2,3
1,63,-5,3
2,95,4,2
-19,5,3,4
-5,43,-13,1
11,-45,5,4
7,-42,-1,2
-6,6,0,3
-9,-133,17,2
-10,213,-14,2
-2,-15,-6,4
6,-13,-6,4
-2,48,-2,2
-9,32,-5,1
0,37,18,1
0,-19,4,1
-8,-93,12,1
-6,60,-12,2
5,-7,-3,1
7,-27,-3,3
-7,122,-5,4
-5,9,-3,2
-5,-39,7,2
11,-12,-5,3
7,-39,3,3
-8,15,-14,2
-13,27,3,4
8,-71,-2,4
5,-46,-9,2
3,31,21,2
12,-2,6,2
-7,7,-3,1
-18,-44,8,2
-13,-187,21,2
-1,-4,-5,4
-15,107,-5,2
-18,-36,16,3
3,0,7,3
12,-52,2,4
5,-1,3,4
10,-156,-16,4
1,-10,1,3
11,-2,5,4
10,79,16,4
-8,-116,0,4
-18,-27,-2,1
-11,-260,23,1
16,-58,-2,4
-8,0,-12,2
-8,35,-4,2
5,-18,-1,4
-3,-5,5,4
-1,74,-11,3
-17,-10,3,4
5,-56,-7,1
-10,4,8,4
-4,-31,6,3
-2,-31,8,1
-1,-29,-7,2
3,-35,1,4
-5,-104,-5,3
6,-156,-10,3
4,82,-2,4
-9,-92,17,1
-1,-16,1,3
-5,-2,5,4
-6,93,-12,4
0,-70,-4,1
2,-48,-4,4
-12,75,-10,3
10,235,12,1
-6,-50,12,2
9,-1,7,1
-16,-120,14,4
21,-105,-3,4
-23,-120,5,3
-13,30,-1,2
4,-12,22,3
2,4,12,3
-21,106,-13,1
-11,35,-1,2
-14,45,2,2
3,-12,-3,3
11,108,7,1
-17,123,-7,1
12,-26,8,3
-7,-22,-9,4
2,-6,0,2
0,-96,0,1
13,-138,-13,2
-14,81,-16,3
3,8,-3,4
22,-308,-18,4
3,7,1,3
-3,63,-13,4
4,-35,6,2
-8,-68,-2,4
4,-6,4,3
-8,84,-8,4
-9,-35,-3,1
3,-20,-7,4
-4,18,2,4
-3,35,-17,2
4,-38,-4,4
-5,-3,5,3
2,-48,-8,4
13,22,3,2
-13,226,-1,1
-3,14,-3,2
0,-104,24,2
-8,72,-10,4
-1,29,15,1
-10,-25,0,3
3,-3,9,4
10,11,14,1
-8,-6,-10,2
-10,-157,22,1
1,-6,-19,2
-4,-7,8,4
4,-6,8,4
-10,38,-14,2
-2,41,-6,2
1,-19,-5,3
-7,-93,13,4
-14,-12,0,4
6,17,8,2
-3,-34,-3,2
9,-91,-17,3
-8,-11,6,2
18,-53,-2,2
-1,-31,1,4
-3,21,5,1
-21,20,3,4
-3,24,-7,3
-5,-81,7,2
-1,21,-13,4
1,-1,-1,4
-2,5,-2,3
-2,-20,-8,4
5,88,15,1
2,71,10,2
8,-6,-2,1
-8,15,-2,2
-7,-1,-1,2
-2,-37,-10,1
2,14,-8,1
7,-11,15,4
-6,-34,-2,3
12,-24,-2,4
-9,3,15,4
1,37,3,3
-3,29,-1,2
-1,-13,7,3
-7,-30,9,4
-14,80,-6,3
14,-31,4,1
2,-12,6,2
-14,-29,-4,2
3,-84,-5,4
4,-25,2,4
13,-79,3,2
-10,-93,22,4
24,-152,-10,1
-5,15,1,1
1,80,-11,3
4,-31,-20,1
-11,-116,11,4
7,-29,-3,4
-5,2,-9,2
-8,-44,0,3
1,-15,-1,3
-5,-21,-5,3
21,48,5,4
-5,5,-5,4
-3,-37,13,1
1,19,9,1
8,-56,-4,1
8,-11,8,2
-9,-18,5,1
-4,-25,-4,1
0,-50,-2,2
0,-51,-16,2
0,-16,10,4
-27,102,1,4
-5,34,15,2
-1,22,-11,3
-10,17,-6,1
-9,-24,7,3
8,-44,-14,4
15,-47,-9,1
-6,-60,2,1
-4,-12,-4,1
11,-28,-5,1
10,-98,-10,2
8,-83,-4,4
-14,-37,2,2
-5,-13,3,2
4,26,-6,1
1,16,-9,2
-3,-26,-7,3
6,24,12,3
-5,-56,13,3
-9,-49,3,3
10,-101,0,1
14,27,-2,3
5,0,5,4
3,37,11,1
12,8,-6,1
-11,22,-7,4
-10,13,-6,3
16,19,-4,3
-7,-22,-1,2
3,20,-7,1
-21,34,-3,1
-6,-1,4,1
0,22,16,3
-14,-80,12,2
6,-3,-2,3
3,-115,-23,4
-3,-25,9,1
6,-18,-2,1
-10,-44,4,4
-11,15,-3,3
2,-22,12,3
10,-2,0,3
-4,13,4,2
-8,23,6,4
-2,47,0,1
-5,23,-5,1
-3,29,1,4
2,31,14,3
3,35,13,4
7,72,7,3
-4,-13,-8,1
5,-12,3,1
12,-81,-16,3
8,27,4,2
2,-7,2,4
7,-93,-7,1
3,9,-13,3
-8,72,-6,3
-4,-43,4,4
-2,-63,18,3
-3,0,-3,3
-7,11,-5,2
7,-39,-9,1
-4,-11,0,2
7,15,3,1
-5,40,9,3
-6,43,-12,3
