val1,val2,val3,last_matrix,num_moves_Q_learning_needs,min_a_b_sqrt_c
-12,8,6,4,21,2.8284271247461903
4,2,2,1,5,1.4142135623730951
1,-7,-1,4,9,1.0
-4,40,-8,2,15,4.0
-1,-14,5,3,9,1.0
6,-16,-4,4,9,4.0
-2,-3,-2,2,7,1.7320508075688772
3,-3,-5,4,7,1.7320508075688772
10,-28,-2,1,15,2.0
9,3,1,3,11,1.0
-10,14,-4,4,13,3.7416573867739413
-8,5,0,2,9,0.0
5,16,3,3,9,3.0
-4,12,8,2,17,3.4641016151377544
-6,-23,12,2,17,4.795831523312719
9,-13,-5,3,15,3.605551275463989
-5,12,-5,2,9,3.4641016151377544
-11,11,-1,4,11,1.0
0,-6,8,1,9,0.0
-3,20,-5,4,11,3.0
2,-6,-8,4,9,2.0
-6,36,-12,4,19,6.0
1,-5,-1,1,7,1.0
7,13,1,2,9,1.0
-3,-16,1,3,11,1.0
-6,-2,-2,4,9,1.4142135623730951
-4,-10,10,3,13,3.1622776601683795
5,-29,-7,4,13,5.0
-4,-21,0,3,15,0.0
-1,-6,5,2,7,1.0
7,52,11,2,19,7.0
5,4,3,2,7,2.0
-2,-7,6,2,7,2.0
-1,-11,5,1,9,1.0
-4,-11,-4,2,13,3.3166247903554
-5,-18,1,3,11,1.0
-4,9,-4,4,7,3.0
-6,-38,8,2,13,6.0
2,-3,-6,1,7,1.7320508075688772
-8,-34,10,2,19,5.830951894845301
-2,30,-6,3,15,2.0
5,10,-1,3,9,1.0
-3,-2,-3,1,7,1.4142135623730951
1,-10,11,2,15,1.0
-6,-4,-8,3,21,2.0
-5,22,-9,2,13,4.69041575982343
4,-3,0,1,5,0.0
-1,4,13,2,15,1.0
9,-1,5,2,15,1.0
-3,-22,7,3,11,3.0
9,28,9,4,25,5.291502622129181
3,2,-3,1,7,1.4142135623730951
-8,16,-6,2,13,4.0
-4,-6,0,3,7,0.0
-10,31,0,4,19,0.0
-8,7,-2,3,9,2.0
10,-8,0,3,11,0.0
4,28,8,3,11,4.0
-1,6,-7,1,7,1.0
-3,3,-3,4,5,1.7320508075688772
-10,-9,0,4,11,0.0
3,1,-1,4,5,1.0
8,36,4,3,13,4.0
-3,-9,3,3,5,3.0
6,-54,-8,4,17,6.0
-5,18,13,2,23,4.242640687119285
1,-7,1,1,9,1.0
-10,47,-6,1,15,6.0
-5,3,1,3,7,1.0
-4,0,-4,3,7,0.0
1,-3,-1,4,5,1.0
-9,-4,3,2,13,2.0
-4,0,-4,4,7,0.0
-2,9,-4,4,7,2.0
4,1,2,1,5,1.0
2,17,8,1,11,2.0
-3,32,-5,1,17,3.0
2,9,4,2,7,2.0
0,-8,0,1,11,0.0
4,-8,-2,4,5,2.0
-4,1,-2,1,5,1.0
4,-7,-4,4,7,2.6457513110645907
0,21,4,2,15,0.0
5,-12,-1,1,9,1.0
-9,-44,5,3,13,5.0
-4,-11,2,3,7,2.0
-13,20,-7,1,21,4.47213595499958
11,10,3,1,17,3.0
-4,-12,2,4,7,2.0
0,-7,-2,3,9,0.0
2,0,-6,4,7,0.0
-2,-4,-6,4,9,2.0
3,0,-1,1,3,0.0
0,3,0,3,7,0.0
-5,18,-1,4,11,1.0
